sex_gp,outcome,outcome_unit,X1,X2,X3
Female,CED,MJ,341234671.531719,346311570.242764,344706994.03227
Female,Food_price,USD,192459474.442844,194657172.515926,193422732.83556
Female,FL,mrh-eq,11709325.9185745,11854802.4760261,11802955.0872976
Male,CED,MJ,303705546.027983,304843145.161526,303775529.074509
Male,Food_price,USD,157330685.019353,159974580.133026,158905606.695125
Male,FL,mrh-eq,10255958.8902783,10316039.0454307,10273209.0690616
