sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
Female,NHW,CED,MJ,167683641.501957,170384340.236349,169786416.146662
Female,NHW,Food_price,USD,88031839.8954522,88970152.8396389,87884145.3771082
Female,NHW,FL,mrh-eq,5687778.21255413,5754206.55331685,5735563.0186448
Female,NHB,CED,MJ,30325078.5116748,30409992.3088078,30038092.1633021
Female,NHB,Food_price,USD,17221004.6697988,17161325.6497874,17059631.4808482
Female,NHB,FL,mrh-eq,1027630.8195783,1032175.37298648,1016139.36638389
Female,HIS,CED,MJ,36872487.6192846,37541222.845207,37525032.8770205
Female,HIS,Food_price,USD,17849705.6166607,18309789.0130752,18657997.8866599
Female,HIS,FL,mrh-eq,1263365.7864491,1288297.80391746,1290466.86329186
Female,OTH,CED,MJ,23900687.9559621,24158240.5861156,24038114.6642673
Female,OTH,Food_price,USD,12861048.8121418,12890863.6593893,12939972.5328603
Female,OTH,FL,mrh-eq,827602.173563127,833731.1168214,832626.513472059
Male,NHW,CED,MJ,146814569.83724,147639883.571447,147708961.56741
Male,NHW,Food_price,USD,72734452.2089265,74417334.8539852,73715575.9033235
Male,NHW,FL,mrh-eq,4937936.10634373,4976809.7586095,4968848.87656567
Male,NHB,CED,MJ,23707838.6057127,23821787.9935934,23569485.0378928
Male,NHB,Food_price,USD,11330887.7100882,11634804.6515009,11539255.3543809
Male,NHB,FL,mrh-eq,785249.708613075,791586.986214555,782688.995716399
Male,HIS,CED,MJ,34443114.2228995,34565351.2220373,34514878.0028513
Male,HIS,Food_price,USD,16434861.9192971,16222073.897037,16481731.459467
Male,HIS,FL,mrh-eq,1148994.17861834,1150707.7069498,1155268.37522384
Male,OTH,CED,MJ,21905228.3123402,21517344.1479102,21002397.6405138
Male,OTH,Food_price,USD,9894206.94895263,9881892.06110727,9678241.2154089
Male,OTH,FL,mrh-eq,762695.264175721,752569.943770329,734825.874988031
