outcome,outcome_unit,X1,X2,X3
CED,MJ,282984964.569365,282984964.569365,282984964.569365
Food_price,USD,143022054.444372,143022054.444372,143022054.444372
FL,mrh-eq,9985115.3538136,9985115.3538136,9985115.3538136
