age_gp,race_gp,outcome,outcome_unit,X1,X2,X3
20-34,NHW,CED,MJ,-10480609.6461631,-10323084.4399805,-10483103.0505409
20-34,NHW,Food_price,USD,-8048666.09159787,-7619447.78887062,-8127559.15970028
20-34,NHW,FL,mrh-eq,-339439.993803656,-331747.4351102,-339383.689404472
20-34,NHB,CED,MJ,-2722145.67891326,-2593056.54586583,-2674410.73869865
20-34,NHB,Food_price,USD,-2279463.00651463,-2216976.30880264,-2361572.41749541
20-34,NHB,FL,mrh-eq,-87852.3131833594,-84296.4425808704,-87130.2649387536
20-34,HIS,CED,MJ,-3649909.34242115,-3665248.15094294,-3761043.31542471
20-34,HIS,Food_price,USD,-2566357.91144293,-2592991.19441669,-2720032.57995085
20-34,HIS,FL,mrh-eq,-116985.646616192,-118268.563696329,-121355.054145929
20-34,OTH,CED,MJ,-1746635.40763946,-1736309.05499513,-1754651.13842611
20-34,OTH,Food_price,USD,-1272650.93401816,-1291644.65457545,-1337110.3380456
20-34,OTH,FL,mrh-eq,-58135.2412207041,-57187.4814589069,-58191.9752362722
35-44,NHW,CED,MJ,-6448873.80272048,-6955953.67407265,-6893471.39359127
35-44,NHW,Food_price,USD,-4572737.10787833,-4819669.47189042,-4765046.12297619
35-44,NHW,FL,mrh-eq,-215677.892356014,-232999.690509438,-230019.933646929
35-44,NHB,CED,MJ,-1590570.14488729,-1617689.94352001,-1638425.94255288
35-44,NHB,Food_price,USD,-1320695.46490621,-1397929.83217337,-1443208.4729357
35-44,NHB,FL,mrh-eq,-53011.2273467208,-54413.217263203,-54824.1062994176
35-44,HIS,CED,MJ,-2303242.92603841,-2422133.67273534,-2353316.92299875
35-44,HIS,Food_price,USD,-1607903.40427005,-1556856.73569921,-1640302.72071235
35-44,HIS,FL,mrh-eq,-78488.8222519162,-81513.9783403294,-80602.8171007795
35-44,OTH,CED,MJ,-1207564.9157662,-1181316.69515168,-1100347.84074423
35-44,OTH,Food_price,USD,-746419.173349547,-767810.515721711,-741828.779850935
35-44,OTH,FL,mrh-eq,-42723.7760128463,-42494.1064627812,-39782.3019554822
45-54,NHW,CED,MJ,-7453487.89808809,-7818831.87063469,-7635630.1138466
45-54,NHW,Food_price,USD,-5152717.29628443,-5922499.12505832,-5198071.67508663
45-54,NHW,FL,mrh-eq,-253160.406444111,-268271.5274775,-257383.538439372
45-54,NHB,CED,MJ,-1251369.50039261,-1409063.43893209,-1257856.37216
45-54,NHB,Food_price,USD,-960236.234448972,-1078590.35867839,-983711.20524322
45-54,NHB,FL,mrh-eq,-42928.1249081887,-48728.8508286581,-43577.5160857965
45-54,HIS,CED,MJ,-1543211.38750277,-1568630.84564898,-1509440.95400684
45-54,HIS,Food_price,USD,-1021306.33188499,-1003048.40857449,-1033589.1127711
45-54,HIS,FL,mrh-eq,-53676.8302639933,-53654.3304302957,-52713.9735249879
45-54,OTH,CED,MJ,-1004392.14678109,-1036144.36905534,-889718.038820871
45-54,OTH,Food_price,USD,-554647.510738374,-577137.148338203,-401830.594926026
45-54,OTH,FL,mrh-eq,-34452.2302448683,-35660.8711709906,-28448.0508514739
55-64,NHW,CED,MJ,-9975162.0604906,-10896596.987055,-10489953.3186529
55-64,NHW,Food_price,USD,-6222258.71673969,-7114828.40687058,-6504600.94016435
