outcome,outcome_unit,X1,X2,X3
CED,MJ,-202667681.997706,-207053198.342103,-205198413.530555
Food_price,USD,-103335953.336945,-106466182.181149,-104934496.765684
FL,mrh-eq,-6456136.89608192,-6594969.88877278,-6531312.53047296
