race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,-46943266.1620729,-48456344.77062,-48044024.0039263
NHW,Food_price,USD,-31716871.7565905,-33178466.4049267,-32284259.8544018
NHW,FL,mrh-eq,-1589315.21664035,-1642602.24648477,-1622905.71004424
NHB,CED,MJ,-8465978.96246828,-8553279.46231758,-8339335.89332126
NHB,Food_price,USD,-6795899.54479982,-6913719.75809148,-6826997.14395069
NHB,FL,mrh-eq,-287707.400451963,-291985.204110251,-283212.770727495
HIS,CED,MJ,-9812964.16627248,-10051006.235974,-10081654.3732204
HIS,Food_price,USD,-6387624.62616957,-6453424.34664666,-6771397.69412645
HIS,FL,mrh-eq,-329327.60980712,-337579.689843229,-341978.64907227
OTH,CED,MJ,-5676727.74951843,-5667288.07161148,-5445496.78409272
OTH,Food_price,USD,-3570855.57783037,-3637005.33827816,-3528233.45266053
OTH,FL,mrh-eq,-193862.169372605,-194768.975746975,-187818.979543371
