race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,178229330.512762,178229330.512762,178229330.512762
NHW,Food_price,USD,92754001.6288538,92754001.6288538,92754001.6288538
NHW,FL,mrh-eq,6287056.77349691,6287056.77349691,6287056.77349691
NHB,CED,MJ,31161891.8216138,31161891.8216138,31161891.8216138
NHB,Food_price,USD,14384500.2964799,14384500.2964799,14384500.2964799
NHB,FL,mrh-eq,1074785.34153836,1074785.34153836,1074785.34153836
HIS,CED,MJ,44506194.4064982,44506194.4064982,44506194.4064982
HIS,Food_price,USD,21098195.7369783,21098195.7369783,21098195.7369783
HIS,FL,mrh-eq,1568955.71553378,1568955.71553378,1568955.71553378
OTH,CED,MJ,29087547.8284904,29087547.8284904,29087547.8284904
OTH,Food_price,USD,14785356.7820603,14785356.7820603,14785356.7820603
OTH,FL,mrh-eq,1054317.52324454,1054317.52324454,1054317.52324454
