age_gp,sex_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,CED,MJ,66528479.7382258,66642254.4223897,67155801.078619
20-34,Female,Food_price,USD,38358884.5737099,37498298.1880488,38938898.3793555
20-34,Female,FL,mrh-eq,2239410.84737654,2231725.44747287,2258528.72715444
20-34,Male,CED,MJ,64466741.6191825,63476701.1640679,63765764.6292728
20-34,Male,Food_price,USD,33415123.401021,33245639.4468191,33540100.7147489
20-34,Male,FL,mrh-eq,2106452.53106299,2077796.33946952,2083682.16057128
35-44,Female,CED,MJ,41937302.5220035,43354705.3822036,43221050.338203
35-44,Female,Food_price,USD,20106520.5609225,20798738.2839757,20741163.2213213
35-44,Female,FL,mrh-eq,1421473.39639472,1471012.07800559,1465207.48224005
35-44,Male,CED,MJ,37698515.988744,38230581.0568279,37974068.1761866
35-44,Male,Food_price,USD,19618932.5576032,19724656.9031544,19886403.4070815
35-44,Male,FL,mrh-eq,1261035.65707346,1276945.0599893,1273399.70519444
45-54,Female,CED,MJ,40402417.1854279,41625455.4122277,40995963.1171105
45-54,Female,Food_price,USD,20754008.2452236,22164991.0473653,20829813.5083334
45-54,Female,FL,mrh-eq,1379775.8965498,1422576.50949139,1394266.73801869
45-54,Male,CED,MJ,36756190.6212335,36801876.6342718,36489564.5686817
45-54,Male,Food_price,USD,17748553.0537498,18038753.5901152,17523058.3357999
45-54,Male,FL,mrh-eq,1258482.719154,1258669.70127896,1245378.89821215
55-64,Female,CED,MJ,51834046.03093,53095944.1599722,52333468.7144429
55-64,Female,Food_price,USD,26951270.7956624,27710796.2142232,27143013.3651119
55-64,Female,FL,mrh-eq,1772263.78854594,1811697.47929126,1787639.29981732
55-64,Male,CED,MJ,42926104.4786528,44130577.6074934,43415838.349816
55-64,Male,Food_price,USD,19705897.9723044,20816569.6172726,19945071.5468759
55-64,Male,FL,mrh-eq,1484344.23554297,1534355.22947646,1501441.02892015
65-74,Female,CED,MJ,33193849.2332041,32716072.1397739,32904636.5741652
65-74,Female,Food_price,USD,17193936.8150654,16817182.2392439,16645277.1414268
65-74,Female,FL,mrh-eq,1130411.01616039,1109780.10606689,1113832.35305577
65-74,Male,CED,MJ,26765706.3803202,26823835.4528208,26919369.5586899
65-74,Male,Food_price,USD,11797532.2106883,12235205.8573899,12159525.3483477
65-74,Male,FL,mrh-eq,913392.917852344,916410.8095831,921894.871949205
75+,Female,CED,MJ,24885800.879087,25059364.4599128,24776736.0287111
75+,Female,Food_price,USD,12598978.0034697,12342125.189034,12243581.6619277
75+,Female,FL,mrh-eq,863042.047117266,861619.226714188,855321.161506332
75+,Male,CED,MJ,18257491.8900591,18080795.0195057,18231116.9660208
75+,Male,Food_price,USD,8108369.59189762,8095280.04887923,8360644.5797265
75+,Male,FL,mrh-eq,611167.197065099,607497.255746848,615835.457646708
