sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,51390193.5685967,52572414.5095775,51859048.5361157
Female,added_sugar,Food_price,USD,89447725.3863133,91156516.220555,90224279.2981807
Female,added_sugar,FL,mrh-eq,2422691.79415817,2475232.85854892,2442660.33128853
Female,oil,CED,MJ,35150971.1679488,34479452.1277317,34862107.537361
Female,oil,Food_price,USD,26544311.4476678,25841869.2032782,26006106.8031474
Female,oil,FL,mrh-eq,1801466.70190448,1766328.03071761,1785479.56366031
Female,sat_fat,CED,MJ,172240730.852333,175441929.339171,174666499.777775
Female,sat_fat,Food_price,USD,19971562.1600724,20333745.7380576,20311361.1761486
Female,sat_fat,FL,mrh-eq,4582218.496082,4666849.95777565,4646655.86684377
Male,added_sugar,CED,MJ,44390936.6292227,45423432.31536,45031829.304046
Male,added_sugar,Food_price,USD,74253176.4463314,75978906.1217131,75412154.2062395
Male,added_sugar,FL,mrh-eq,1968502.09232168,2018892.53978033,2001459.9811169
Male,oil,CED,MJ,28090147.2491066,27886649.8364653,27790300.5046705
Male,oil,Food_price,USD,18896676.66958,18943099.8379713,18797378.2781272
Male,oil,FL,mrh-eq,1417209.72171167,1406867.52120323,1401838.403635
Male,sat_fat,CED,MJ,154389667.099863,154234284.783162,153973592.439951
Male,sat_fat,Food_price,USD,17244555.671353,17234099.503946,17205271.4482136
Male,sat_fat,FL,mrh-eq,4249163.44371751,4245914.33456062,4238333.73774204
