sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
Female,NHW,CED,MJ,120390184.172727,120390184.172727,120390184.172727
Female,NHW,Food_price,USD,67008479.0952833,67008479.0952833,67008479.0952833
Female,NHW,FL,mrh-eq,4258260.38309406,4258260.38309406,4258260.38309406
Female,NHB,CED,MJ,22280051.5245219,22280051.5245219,22280051.5245219
Female,NHB,Food_price,USD,11734915.6467878,11734915.6467878,11734915.6467878
Female,NHB,FL,mrh-eq,768375.895231634,768375.895231634,768375.895231634
Female,HIS,CED,MJ,29548503.877627,29548503.877627,29548503.877627
Female,HIS,Food_price,USD,14836037.2567268,14836037.2567268,14836037.2567268
Female,HIS,FL,mrh-eq,1049962.98681333,1049962.98681333,1049962.98681333
Female,OTH,CED,MJ,19181322.0158061,19181322.0158061,19181322.0158061
Female,OTH,Food_price,USD,10990734.6193128,10990734.6193128,10990734.6193128
Female,OTH,FL,mrh-eq,692215.870304639,692215.870304639,692215.870304639
Male,NHW,CED,MJ,113238585.465593,113238585.465593,113238585.465593
Male,NHW,Food_price,USD,61241701.9511914,61241701.9511914,61241701.9511914
Male,NHW,FL,mrh-eq,3991108.95044195,3991108.95044195,3991108.95044195
Male,NHB,CED,MJ,18755946.1434642,18755946.1434642,18755946.1434642
Male,NHB,Food_price,USD,8472238.89042314,8472238.89042314,8472238.89042314
Male,NHB,FL,mrh-eq,644074.534796288,644074.534796288,644074.534796288
Male,HIS,CED,MJ,29068777.7393158,29068777.7393158,29068777.7393158
Male,HIS,Food_price,USD,14299849.9407712,14299849.9407712,14299849.9407712
Male,HIS,FL,mrh-eq,1013708.53807998,1013708.53807998,1013708.53807998
Male,OTH,CED,MJ,18910227.5826087,18910227.5826087,18910227.5826087
Male,OTH,Food_price,USD,9398997.21936431,9398997.21936431,9398997.21936431
Male,OTH,FL,mrh-eq,691228.357736923,691228.357736923,691228.357736923
