race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,233628769.63832,233628769.63832,233628769.63832
NHW,Food_price,USD,128250181.046475,128250181.046475,128250181.046475
NHW,FL,mrh-eq,8249369.33353601,8249369.33353601,8249369.33353601
NHB,CED,MJ,41035997.6679861,41035997.6679861,41035997.6679861
NHB,Food_price,USD,20207154.5372109,20207154.5372109,20207154.5372109
NHB,FL,mrh-eq,1412450.43002792,1412450.43002792,1412450.43002792
HIS,CED,MJ,58617281.6169427,58617281.6169427,58617281.6169427
HIS,Food_price,USD,29135887.197498,29135887.197498,29135887.197498
HIS,FL,mrh-eq,2063671.52489332,2063671.52489332,2063671.52489332
OTH,CED,MJ,38091549.5984148,38091549.5984148,38091549.5984148
OTH,Food_price,USD,20389731.8386771,20389731.8386771,20389731.8386771
OTH,FL,mrh-eq,1383444.22804156,1383444.22804156,1383444.22804156
