sex_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
Female,added_sugar,CED,MJ,-41865359.7245482,-43648318.3660985,-42573094.8424105
Female,added_sugar,Food_price,USD,-72768089.0152378,-75344770.8817651,-73940789.6186768
Female,added_sugar,FL,mrh-eq,-1970674.96268983,-2049913.41187636,-2000819.23566114
Female,oil,CED,MJ,-3990346.51236501,-3184887.47240232,-3644336.25187446
Female,oil,Food_price,USD,-3122735.86934908,-2280184.12725071,-2477330.73030002
Female,oil,FL,mrh-eq,-202957.807636373,-160810.733016681,-183804.240094335
Female,sat_fat,CED,MJ,-103978903.704124,-108078302.813581,-107089501.347303
Female,sat_fat,Food_price,USD,-11998482.9401461,-12462050.8888,-12434445.8684722
Female,sat_fat,FL,mrh-eq,-2766878.01280465,-2875263.19568938,-2849516.47609845
Male,added_sugar,CED,MJ,-32868775.0237107,-34423779.0080679,-33832236.4839372
Male,added_sugar,Food_price,USD,-54740244.930184,-57338746.206684,-56484083.8551006
Male,added_sugar,FL,mrh-eq,-1451835.30492118,-1527723.16186566,-1501371.56880187
Male,oil,CED,MJ,1571638.412166,1814950.51435054,1930116.96498467
Male,oil,Food_price,USD,1103545.33180902,1047826.64181839,1221870.66223908
Male,oil,FL,mrh-eq,79402.7789814894,91770.5570874468,97781.4647395883
Male,sat_fat,CED,MJ,-92434872.4854565,-92260779.7368265,-91899872.6245749
Male,sat_fat,Food_price,USD,-10281197.4192277,-10270872.5664105,-10230605.5005134
Male,sat_fat,FL,mrh-eq,-2543405.98328342,-2539966.05959736,-2529498.58394414
