Foodgroup,outcome,outcome_unit,X1,X2,X3
added_sugar,CED,MJ,-25199358.9137379,-26322604.9125274,-25760807.8494846
added_sugar,Food_price,USD,-43000422.1406127,-44741084.7740165,-43981429.9971929
added_sugar,FL,mrh-eq,-1153791.80765636,-1205986.60193797,-1180545.91858277
oil,CED,MJ,-404372.93767571,-230618.248386905,-288594.49939051
oil,Food_price,USD,-337231.472960244,-206417.496850869,-211004.039454403
oil,FL,mrh-eq,-20656.4877544985,-11622.5067241519,-14482.6907752052
sat_fat,CED,MJ,-45295205.1889185,-46174695.3796088,-45861108.7056856
sat_fat,Food_price,USD,-5133597.89181725,-5235113.57707563,-5218454.10849215
sat_fat,FL,mrh-eq,-1225764.10086118,-1249327.0075231,-1240887.50002939
