age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,173707358.18289,172549490.528587,173707610.701327
20-34,Food_price,USD,102547961.227324,101071812.890553,103632088.898317
20-34,FL,mrh-eq,5781028.59460947,5733773.73113473,5781023.89279718
35-44,CED,MJ,105980333.041056,108556643.165407,107974943.355173
35-44,Food_price,USD,56953316.1654967,58045769.6391816,58198060.6214448
35-44,FL,mrh-eq,3591384.07545171,3678351.43458667,3662809.65045313
45-54,CED,MJ,102556335.14337,104405268.974715,102923439.568571
45-54,Food_price,USD,54623509.6946979,57217060.7004977,54402115.454528
45-54,FL,mrh-eq,3524657.0366109,3589742.61972374,3523949.54417842
55-64,CED,MJ,126256900.261319,129738422.172868,127734800.412252
55-64,Food_price,USD,65789728.1515004,68648660.4761982,66557751.0383935
55-64,FL,mrh-eq,4362059.24066567,4491570.28636361,4413790.57943665
65-74,CED,MJ,79637539.4838304,79157761.1196558,79491768.5772584
65-74,Food_price,USD,40706776.9748687,40905381.8556709,40501695.8108617
65-74,FL,mrh-eq,2736677.49459761,2717046.35294949,2727747.6405571
75+,CED,MJ,56801751.4472363,56747129.4430571,56649960.4921985
75+,Food_price,USD,29168867.2483084,28743067.086851,29036627.7071403
75+,FL,mrh-eq,1969478.36691741,1960357.09669857,1966842.84893666
