age_gp,sex_gp,outcome,outcome_unit,X1,X2,X3
20-34,Female,CED,MJ,38185192.459431,38185192.459431,38185192.459431
20-34,Female,Food_price,USD,21098056.6006211,21098056.6006211,21098056.6006211
20-34,Female,FL,mrh-eq,1339530.36782864,1339530.36782864,1339530.36782864
20-34,Male,CED,MJ,39367288.6723335,39367288.6723335,39367288.6723335
20-34,Male,Food_price,USD,20815276.38569,20815276.38569,20815276.38569
20-34,Male,FL,mrh-eq,1366302.96204709,1366302.96204709,1366302.96204709
35-44,Female,CED,MJ,24253128.6395148,24253128.6395148,24253128.6395148
35-44,Female,Food_price,USD,11101352.0457262,11101352.0457262,11101352.0457262
35-44,Female,FL,mrh-eq,850244.501942613,850244.501942613,850244.501942613
35-44,Male,CED,MJ,22937086.3621595,22937086.3621595,22937086.3621595
35-44,Male,Food_price,USD,11423586.9096218,11423586.9096218,11423586.9096218
35-44,Male,FL,mrh-eq,802944.471588341,802944.471588341,802944.471588341
45-54,Female,CED,MJ,23360176.9783457,23360176.9783457,23360176.9783457
45-54,Female,Food_price,USD,11609197.6503865,11609197.6503865,11609197.6503865
45-54,Female,FL,mrh-eq,829464.234562618,829464.234562618,829464.234562618
45-54,Male,CED,MJ,22003806.6810532,22003806.6810532,22003806.6810532
45-54,Male,Food_price,USD,10536101.9591818,10536101.9591818,10536101.9591818
45-54,Male,FL,mrh-eq,786235.487511229,786235.487511229,786235.487511229
55-64,Female,CED,MJ,29208325.6956458,29208325.6956458,29208325.6956458
55-64,Female,Food_price,USD,15320203.7655181,15320203.7655181,15320203.7655181
55-64,Female,FL,mrh-eq,1038723.75069784,1038723.75069784,1038723.75069784
55-64,Male,CED,MJ,26010857.0786482,26010857.0786482,26010857.0786482
55-64,Male,Food_price,USD,12371989.7543989,12371989.7543989,12371989.7543989
55-64,Male,FL,mrh-eq,938599.288546776,938599.288546776,938599.288546776
65-74,Female,CED,MJ,18229530.5074564,18229530.5074564,18229530.5074564
65-74,Female,Food_price,USD,9821275.98865231,9821275.98865231,9821275.98865231
65-74,Female,FL,mrh-eq,638660.677651621,638660.677651621,638660.677651621
65-74,Male,CED,MJ,15666942.4952889,15666942.4952889,15666942.4952889
65-74,Male,Food_price,USD,7230923.99328183,7230923.99328183,7230923.99328183
65-74,Male,FL,mrh-eq,556430.216322746,556430.216322746,556430.216322746
75+,Female,CED,MJ,13628863.1919761,13628863.1919761,13628863.1919761
75+,Female,Food_price,USD,6849618.11958148,6849618.11958148,6849618.11958148
75+,Female,FL,mrh-eq,483252.02583083,483252.02583083,483252.02583083
75+,Male,CED,MJ,10133765.8075117,10133765.8075117,10133765.8075117
75+,Male,Food_price,USD,4844471.27171222,4844471.27171222,4844471.27171222
75+,Male,FL,mrh-eq,354727.369283253,354727.369283253,354727.369283253
