outcome,outcome_unit,X1,X2,X3
CED,MJ,159287570.992631,161116552.492822,160299145.00686
Food_price,USD,103432151.680879,105143516.023431,104371788.320628
FL,mrh-eq,5524032.55895726,5590756.27887045,5559736.27207259
