age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-53442740.2256439,-52566474.4546932,-53369084.5761273
20-34,Food_price,USD,-29860674.9884198,-28830604.6485567,-30565666.1077933
20-34,FL,mrh-eq,-1640030.0485638,-1603688.45706667,-1636377.55785
35-44,CED,MJ,-32445603.5090732,-34395071.4373572,-34004903.5127154
35-44,Food_price,USD,-17200514.1631777,-17998456.231782,-18102627.6730548
35-44,FL,mrh-eq,-1029320.07993723,-1094768.16446393,-1085418.21390354
45-54,CED,MJ,-31794624.1472626,-33063348.3871007,-32121544.0263934
45-54,Food_price,USD,-16357261.689405,-18058445.0279121,-16207572.2345649
45-54,FL,mrh-eq,-1022558.89362995,-1065546.4886965,-1023945.914157
55-64,CED,MJ,-39540967.7352888,-42007338.9931716,-40530124.2899649
55-64,Food_price,USD,-18964975.2480498,-20835172.3115787,-19395891.3920707
55-64,FL,mrh-eq,-1279284.9848443,-1368729.6695231,-1311757.28949285
65-74,CED,MJ,-26063082.6107791,-25643434.5898495,-25927533.1301099
65-74,Food_price,USD,-11939269.0438196,-12000188.1146997,-11752602.5078403
65-74,FL,mrh-eq,-848713.040038365,-831100.021675623,-840636.331030614
75+,CED,MJ,-19380663.7696583,-19377530.4799308,-19245223.9952441
75+,Food_price,USD,-9013258.20407361,-8743315.84661952,-8910136.85036054
75+,FL,mrh-eq,-636229.849068284,-631137.087346955,-633177.224038958
