sex_gp,race_gp,outcome,outcome_unit,X1,X2,X3
Female,NHW,CED,MJ,27875954.209484,27875954.209484,27875954.209484
Female,NHW,Food_price,USD,18427235.5788274,18427235.5788274,18427235.5788274
Female,NHW,FL,mrh-eq,996987.855472777,996987.855472777,996987.855472777
Female,NHB,CED,MJ,5281467.98192931,5281467.98192931,5281467.98192931
Female,NHB,Food_price,USD,3313284.54723261,3313284.54723261,3313284.54723261
Female,NHB,FL,mrh-eq,181891.827928578,181891.827928578,181891.827928578
Female,HIS,CED,MJ,6971384.05639837,6971384.05639837,6971384.05639837
Female,HIS,Food_price,USD,4030286.99098156,4030286.99098156,4030286.99098156
Female,HIS,FL,mrh-eq,249134.455859681,249134.455859681,249134.455859681
Female,OTH,CED,MJ,4406037.87050056,4406037.87050056,4406037.87050056
Female,OTH,Food_price,USD,2999655.33058338,2999655.33058338,2999655.33058338
Female,OTH,FL,mrh-eq,160925.437668469,160925.437668469,160925.437668469
Male,NHW,CED,MJ,27523484.9160737,27523484.9160737,27523484.9160737
Male,NHW,Food_price,USD,17068943.8387935,17068943.8387935,17068943.8387935
Male,NHW,FL,mrh-eq,965324.704566318,965324.704566318,965324.704566318
Male,NHB,CED,MJ,4592637.86444294,4592637.86444294,4592637.86444294
Male,NHB,Food_price,USD,2509369.69349841,2509369.69349841,2509369.69349841
Male,NHB,FL,mrh-eq,155773.260560989,155773.260560989,155773.260560989
Male,HIS,CED,MJ,7139703.15404616,7139703.15404616,7139703.15404616
Male,HIS,Food_price,USD,4007404.46953808,4007404.46953808,4007404.46953808
Male,HIS,FL,mrh-eq,245581.353499854,245581.353499854,245581.353499854
Male,OTH,CED,MJ,4597963.89942383,4597963.89942383,4597963.89942383
Male,OTH,Food_price,USD,2604719.7260334,2604719.7260334,2604719.7260334
Male,OTH,FL,mrh-eq,168201.267128552,168201.267128552,168201.267128552
