Foodgroup,outcome,outcome_unit,X1,X2,X3
added_sugar,CED,MJ,-47745632.5754128,-49680643.014293,-48551364.545065
added_sugar,Food_price,USD,-56250604.7134634,-58395913.238167,-57172742.8926796
added_sugar,FL,mrh-eq,-2209508.8288317,-2298804.5114185,-2251930.44720559
oil,CED,MJ,-1626041.49690398,-1123864.50202157,-999210.376485429
oil,Food_price,USD,-1746300.31757838,-1141935.97306928,-995672.742612387
oil,FL,mrh-eq,-83036.5065843425,-56982.907352132,-50628.9364033668
sat_fat,CED,MJ,-123180827.973076,-125940603.952271,-125689503.357584
sat_fat,Food_price,USD,-18813380.2418951,-19204997.377487,-19195221.539471
sat_fat,FL,mrh-eq,-3328471.31212214,-3402457.13536498,-3395206.13021974
