age_gp,outcome,outcome_unit,X1,X2,X3
20-34,CED,MJ,-38705667.2776374,-38212656.1447878,-39380295.93009
20-34,Food_price,USD,-16558147.4200815,-16460197.9421699,-16834273.836546
20-34,FL,mrh-eq,-1195519.250179,-1180052.85218157,-1215839.98194991
35-44,CED,MJ,-26576176.6543673,-29353629.0256407,-27264929.2077657
35-44,Food_price,USD,-10937459.9809202,-11936310.0816704,-11171641.4774002
35-44,FL,mrh-eq,-860275.710500121,-949253.339937408,-883311.98035767
45-54,CED,MJ,-27783668.725275,-27896848.9224383,-27468119.9393445
45-54,Food_price,USD,-13455937.6451692,-13964319.4695169,-12856447.4313033
45-54,FL,mrh-eq,-915170.65012994,-924390.170217371,-893977.272927645
55-64,CED,MJ,-35776688.0009291,-37652327.8261277,-37212635.2689828
55-64,Food_price,USD,-15918863.7928322,-17185183.4251302,-16736420.7166571
55-64,FL,mrh-eq,-1180644.06043502,-1251504.48345658,-1230202.17740823
65-74,CED,MJ,-24956197.1959017,-24544476.3702367,-24802070.1170471
65-74,Food_price,USD,-11238419.3765683,-10684314.3112299,-10784233.7884254
65-74,FL,mrh-eq,-833695.348814335,-813801.466145966,-823198.330458001
75+,CED,MJ,-18754104.1912818,-19085173.1793542,-19112027.8159047
75+,Food_price,USD,-8701457.05736547,-8512521.359006,-8980619.92443104
75+,FL,mrh-eq,-635711.62747977,-639242.242196707,-651235.77072724
