outcome,outcome_unit,X1,X2,X3
CED,MJ,-172552502.045392,-176745111.468586,-175240078.279135
Food_price,USD,-76810285.2729368,-78742846.5887232,-77363637.1747629
FL,mrh-eq,-5621016.64753818,-5758244.5541356,-5697765.51382869
