race_gp,Foodgroup,outcome,outcome_unit,X1,X2,X3
NHW,added_sugar,CED,MJ,-30894108.3616272,-32628601.2332802,-31615749.7856565
NHW,added_sugar,Food_price,USD,-38568125.4767044,-40572341.6247781,-39520733.1165264
NHW,added_sugar,FL,mrh-eq,-1451247.74045377,-1528383.74290499,-1486910.23292703
NHW,oil,CED,MJ,-1453725.37857755,-992182.816407863,-843885.114673219
NHW,oil,Food_price,USD,-1553011.45824879,-990144.764033593,-756021.187725742
NHW,oil,FL,mrh-eq,-74207.1734707462,-50272.4351431619,-42689.8511631972
NHW,sat_fat,CED,MJ,-85609588.2855027,-87723386.9986224,-88290472.8529059
NHW,sat_fat,Food_price,USD,-12600238.6663516,-12896175.2656335,-12988962.3412096
NHW,sat_fat,FL,mrh-eq,-2314296.50232555,-2370966.97629098,-2386633.78231463
NHB,added_sugar,CED,MJ,-6534154.53358094,-6709633.73020485,-6430418.19831206
NHB,added_sugar,Food_price,USD,-6592772.59566373,-6722546.19953523,-6429963.82314829
NHB,added_sugar,FL,mrh-eq,-279587.617413058,-286613.788458498,-273289.447740545
NHB,oil,CED,MJ,-287927.679081023,-299520.552580604,-267786.814082649
NHB,oil,Food_price,USD,-300624.501693939,-322796.730234448,-292733.476557412
NHB,oil,FL,mrh-eq,-14264.7895066779,-14711.0916588538,-13303.0879387747
NHB,sat_fat,CED,MJ,-10904908.9042205,-10775406.4233323,-10800663.4727307
NHB,sat_fat,Food_price,USD,-1705520.68396174,-1687977.37932935,-1693374.36188313
NHB,sat_fat,FL,mrh-eq,-291302.643025944,-287774.984344113,-288451.943033863
HIS,added_sugar,CED,MJ,-6780844.44910469,-6727676.18195834,-6930777.88600805
HIS,added_sugar,Food_price,USD,-6871935.36835914,-6800040.50005907,-6979745.91696664
HIS,added_sugar,FL,mrh-eq,-304503.962865545,-303720.852806813,-313197.699195826
HIS,oil,CED,MJ,470146.758940602,300988.831307194,363665.309785068
HIS,oil,Food_price,USD,482133.840849755,324198.183985653,369051.893769588
HIS,oil,FL,mrh-eq,23723.9728514038,15162.4829739296,18474.8958758578
HIS,sat_fat,CED,MJ,-16000375.4567691,-16833397.2947601,-16321363.7373708
HIS,sat_fat,Food_price,USD,-2581011.43480682,-2699962.76672634,-2632610.37667476
HIS,sat_fat,FL,mrh-eq,-436949.776086806,-459696.182573435,-445621.415353886
OTH,added_sugar,CED,MJ,-3536525.23110002,-3614731.86884967,-3574418.6750884
OTH,added_sugar,Food_price,USD,-4217771.27273609,-4300984.91379457,-4242300.03603825
OTH,added_sugar,FL,mrh-eq,-174169.508099334,-180086.1272482,-178533.067342181
OTH,oil,CED,MJ,-354535.198186011,-133149.964340299,-251203.75751463
OTH,oil,Food_price,USD,-374798.198485409,-153192.662786892,-315969.97209882
OTH,oil,FL,mrh-eq,-18288.5164583222,-7161.86352404587,-13110.8931772527
OTH,sat_fat,CED,MJ,-10665955.3265834,-10608413.235556,-10277003.2945769
OTH,sat_fat,Food_price,USD,-1926609.45677495,-1920881.96579773,-1880274.45970343
OTH,sat_fat,FL,mrh-eq,-285922.390683838,-284018.992156451,-274498.989517365
