race_gp,outcome,outcome_unit,X1,X2,X3
NHW,CED,MJ,-117957422.025707,-121344171.04831,-120750107.753236
NHW,Food_price,USD,-52721375.6013048,-54458661.6544452,-53265716.6454618
NHW,FL,mrh-eq,-3839751.41625006,-3949623.15433913,-3916233.86640486
NHB,CED,MJ,-17726991.1168824,-17784560.7061178,-17498868.4851254
NHB,Food_price,USD,-8598917.78131941,-8733320.30909903,-8416071.66158884
NHB,FL,mrh-eq,-585155.049945681,-589099.864461465,-575044.478713182
HIS,CED,MJ,-22311073.1469331,-23260084.6454113,-22888476.3135938
HIS,Food_price,USD,-8970812.9623162,-9175805.08279976,-9243304.3998718
HIS,FL,mrh-eq,-717729.766100948,-748254.552406318,-740344.218673855
OTH,CED,MJ,-14557015.7558694,-14356295.068746,-14102625.7271799
OTH,Food_price,USD,-6519178.92799644,-6375059.5423792,-6438544.4678405
OTH,FL,mrh-eq,-478380.415241494,-471266.982928697,-466142.950036798
