"outcome","pathway","riskfactor","V1","V2","V3"
"OTH","direct","dairy_tot",0,0,0
"OTH","medBMI","dairy_tot",0,0,0
"OTH","medSBP","dairy_tot",0,0,0
"PC","direct","dairy_tot",0,0,0
"PC","medBMI","dairy_tot",0,0,0
"PC","medSBP","dairy_tot",0,0,0
"PVD","direct","dairy_tot",0,0,0
"PVD","medBMI","dairy_tot",0,0,0
"PVD","medSBP","dairy_tot",0,0,0
"RHD","direct","dairy_tot",0,0,0
"RHD","medBMI","dairy_tot",0,0,0
"RHD","medSBP","dairy_tot",0,0,0
"SCC","direct","dairy_tot",0,0,0
"SCC","medBMI","dairy_tot",0,0,0
"SCC","medSBP","dairy_tot",0,0,0
"SCNC","direct","dairy_tot",0,0,0
"SCNC","medBMI","dairy_tot",0,0,0
"SCNC","medSBP","dairy_tot",0,0,0
"TC","direct","dairy_tot",0,0,0
"TC","medBMI","dairy_tot",0,0,0
"TC","medSBP","dairy_tot",0,0,0
"UC","direct","dairy_tot",0,0,0
"UC","medBMI","dairy_tot",0,0,0
"UC","medSBP","dairy_tot",0,0,0
"AA","direct","leg_tot",0,0,0
"AA","medBMI","leg_tot",48.8964921174913,49.6293426958689,46.5648052322695
"AA","medSBP","leg_tot",0,0,0
"AFF","direct","leg_tot",0,0,0
"AFF","medBMI","leg_tot",128.238039230243,113.217561448517,112.273715556817
"AFF","medSBP","leg_tot",0,0,0
"APCA","direct","leg_tot",0,0,0
"APCA","medBMI","leg_tot",26.5566534204633,29.5086259174977,33.6238183776784
"APCA","medSBP","leg_tot",0,0,0
"BC","direct","leg_tot",0,0,0
"BC","medBMI","leg_tot",500.422741362201,410.108416267489,449.039966189215
"BC","medSBP","leg_tot",0,0,0
"CC","direct","leg_tot",0,0,0
"CC","medBMI","leg_tot",118.55702454703,112.676925997835,83.3611731511797
"CC","medSBP","leg_tot",0,0,0
"CM","direct","leg_tot",0,0,0
"CM","medBMI","leg_tot",100.32245567679,104.611235308554,86.48145064034
