"age","female","disease_type","riskfactor","V1","V2","V3"
25,0,"CMD","dairy_tot",0,0,0
35,0,"CMD","dairy_tot",0,0,0
45,0,"CMD","dairy_tot",0,0,0
55,0,"CMD","dairy_tot",0,0,0
65,0,"CMD","dairy_tot",0,0,0
75,0,"CMD","dairy_tot",0,0,0
25,1,"CMD","dairy_tot",0,0,0
35,1,"CMD","dairy_tot",0,0,0
45,1,"CMD","dairy_tot",0,0,0
55,1,"CMD","dairy_tot",0,0,0
65,1,"CMD","dairy_tot",0,0,0
75,1,"CMD","dairy_tot",0,0,0
25,0,"Cancer","dairy_tot",101.800822484147,95.35294814901,71.5116768445965
35,0,"Cancer","dairy_tot",283.435464844662,278.824213438151,297.905761307706
45,0,"Cancer","dairy_tot",869.680385906844,742.098856536742,708.334120890473
55,0,"Cancer","dairy_tot",1613.33277456835,1724.76935068627,1910.23402559654
65,0,"Cancer","dairy_tot",1578.09220416167,1411.04201768981,1769.36601434469
75,0,"Cancer","dairy_tot",1431.86225613427,973.209581176539,1258.17593537165
25,1,"Cancer","dairy_tot",98.7034243728467,108.340000544885,103.509512250485
35,1,"Cancer","dairy_tot",259.554116522862,226.585915690363,264.76596943715
45,1,"Cancer","dairy_tot",680.543719399837,679.636951232973,537.772934199832
55,1,"Cancer","dairy_tot",1192.98438181559,1205.20512346737,1370.28282610686
65,1,"Cancer","dairy_tot",1219.85439007308,1353.6470417523,1259.84397460135
75,1,"Cancer","dairy_tot",2015.73122701649,1699.24843598647,1461.49022368125
25,0,"CMD","leg_tot",58.5467177076753,50.9429721864725,48.9943207694739
35,0,"CMD","leg_tot",161.759609529636,174.805790127761,125.867816651911
45,0,"CMD","leg_tot",504.931784585377,510.12782228424,338.794257342692
55,0,"CMD","leg_tot",853.732176362564,708.701722762109,873.033917811293
65,0,"CMD","leg_tot",1385.46932944344,1705.19027210845,1347.33333132637
75,0,"CMD","leg_tot",1789.93121441153,1633.0012025846,1546.97525251161
25,1,"CMD","leg_tot",31.7113039335461,33.2216290849883,31.2390896030605
35,1,"CMD","leg_tot",91.3351746570173,101.262552704151,83.3736218616258
45,1,"CMD","leg_tot",220.699843876748,236.185506847371,303.872564432611
55,1,"CMD","leg_tot",474.896929613609,394.055904379971,486.392824042541
65,1,"CMD","leg_tot",830.528393544747,675.92459184109,679.350304964767
75,1,"CMD","leg_tot",2401.35263665624,2611.59932951399,2548.18127903581
25,0,"Cancer","leg_tot",12.5463478988573,8.84307889433283,12.3508679600217
35,0,"Cancer","leg_tot",28.5444832400797,40.0423411677254,20.9288061491883
45,0,"Cancer","leg_tot",122.582100036937,162.484551678264,82.1222909686579
55,0,"Cancer","leg_tot",252.198348108727,296.998494475596,300.577235188175
65,0,"Cancer","leg_tot",407.659639792575,433.884189000972,388.283303246326
75,0,"Cancer","leg_tot",249.084709314223,264.536336532766,212.526214296684
25,1,"Cancer","leg_tot",22.2143841781377,24.0589345309163,18.964605086518
35,1,"Cancer","leg_tot",39.6357467688281,50.2148998580582,62.4490956032935
45,1,"Cancer","leg_tot",204.432754613326,183.781762947849,197.564916447076
55,1,"Cancer","leg_tot",479.210446468739,360.13209936407,481.83610746955
65,1,"Cancer","leg_tot",534.292937911746,331.098773974181,487.180806196882
75,1,"Cancer","leg_tot",345.861208701658,411.113846733432,312.84602797535
