"age","female","race","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,1,"Cancer","dairy_tot",57.3326040199783,11.1852745614807,60.6599001232824,45.6511524355952,66.1858539165528,0.0210931999294395,0.00373404532659203,0.0222189716940294,0.0171904518065761,0.0240390420524014,2.22189716940294,1.71904518065761,2.40390420524014,0.29713226755459,0.0579688651943197,0.314376330560272,0.236591912604248,0.343015168950103
25,0,1,"Cancer","leg_tot",7.20923581070042,1.89065800752026,7.7038047253538,5.24961472907827,8.74847331486719,0.00265943326988557,0.000694125373926126,0.00290658630906636,0.00192710788570879,0.00318167857075868,0.290658630906636,0.192710788570879,0.318167857075868,0.0373626249912306,0.00979853454325886,0.0399257805566357,0.0272066820424807,0.0453398857093862
25,0,1,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"DIAB","leg_tot",4.83205054016677,1.32570899870212,4.16076205823028,3.98547858769606,6.2492177022835,0.0194122053401023,0.00493165639704521,0.0184996714674653,0.0151755032457997,0.0244245612261463,1.84996714674653,1.51755032457997,2.44245612261463,0.0250426115903932,0.00687062671642512,0.0215635882278479,0.0206551631535826,0.0323872298853675
25,0,1,"HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"HHD","leg_tot",3.30880840542699,0.313252241659042,3.31752257013806,3.00760162829972,3.60260814254984,0.0186431889820795,0.00170550596550693,0.0188649282748898,0.016939022264852,0.0201588773004182,1.88649282748898,1.6939022264852,2.01588773004182,0.0171482485614227,0.00162346278303137,0.0171934106391742,0.0155872126688362,0.0186708966879204
25,0,1,"HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"HSTK","leg_tot",3.59698924458167,0.370321019014388,3.7556047311149,3.20287087731583,3.85628444829426,0.051559444327067,0.00805157467809991,0.0544767424512101,0.0430569135460871,0.0575822717025252,5.44767424512101,4.30569135460871,5.75822717025252,0.0186417761565408,0.00191922774106909,0.0194638176456465,0.0165992161481064,0.0199856008992352
25,0,1,"IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"IHD","leg_tot",7.68274279116544,0.793012664659886,7.33854307830087,7.13091404004773,8.52714129821803,0.0191638818468931,0.00239785015337417,0.0178767076627488,0.0176940935561525,0.0217277681941563,1.78767076627488,1.76940935561525,2.17277681941563,0.0398166248611732,0.0041098717785048,0.0380327735443998,0.036956714153746,0.0441928091878579
