"disease_type2","X1","X2","X3"
"Other_CVD",110170.242444728,110178.289328191,110287.766881636
"Cancer",1012364.1173627,1011361.79182158,1011055.96964946
"DIAB",72821.3746200808,72533.4566093702,72237.2243668371
"HHD",50836.0162386418,51303.0680012072,50938.8311674466
"HSTK",34129.5658749163,34429.915357535,34637.8520387954
"IHD",363759.699096211,364526.420263455,363414.038453597
"ISTK",42768.5251982464,42555.3594504093,42903.0540363374
"OSTK",69835.2040700341,70563.8668397357,71074.554409929
