"disease_type3","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"All_HD","leg_tot",4149.02343982337,188.230114144624,4062.40969724169,4021.82751588776,4349.8410449534,0.00999972124078922,0.000462860481910907,0.00980422725431361,0.00967355967926217,0.0104920526908205,0.980422725431361,0.967355967926217,1.04920526908205,1.69432227109128,0.0768668770159726,1.65895211829095,1.64237971404337,1.77632945801947
"All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"All_STK","leg_tot",3144.09576479765,160.267922239494,3080.91355698282,3027.8420832008,3314.05432303711,0.0212984692892372,0.00112525627192977,0.0209966903147384,0.0203869640174184,0.0224664866893801,2.09966903147384,2.03869640174184,2.24664866893801,1.28394345175529,0.0654480539650699,1.25814195330872,1.23646934015223,1.35334883703794
"Cancer","dairy_tot",10952.242859428,427.08180766493,11013.1929746326,10523.722063265,11328.9560576672,0.0108265993500362,0.000417444028771498,0.0108927629184079,0.0104056616640925,0.011191298002864,1.08927629184079,1.04056616640925,1.1191298002864,4.47252932268788,0.174405912330883,4.49741930923879,4.29753577562906,4.62636638117841
"Cancer","leg_tot",2614.36089759324,72.8487406341112,2577.63027658772,2567.71135752964,2692.23146551153,0.00258436724470541,7.03166975000468e-05,0.00254944370436921,0.00253890384441495,0.00265951565428165,0.254944370436921,0.253890384441495,0.265951565428165,1.06761746654557,0.0297489868320872,1.05261791060107,1.04856735612506,1.0994171995189
"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DIAB","leg_tot",878.849141055261,43.0905539957591,856.070466739042,852.13571723911,924.924438040199,0.01211696625918,0.000593258336629049,0.0117934850435819,0.0117576444758259,0.0127512470757923,1.17934850435819,1.17576444758259,1.27512470757923,0.35889256694167,0.0175967396587627,0.34959051893937,0.34798369897183,0.377708175713466
"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other_CVD","leg_tot",512.472651357411,43.9976366945001,502.942079977825,475.46744370153,557.57884468594,0.00464999096609021,0.000401165371835321,0.00456513545597532,0.00431139629439173,0.00506071282138635,0.456513545597532,0.431139629439173,0.506071282138635,0.209276674165288,0.0179671618654552,0.205384707880001,0.194164986225442,0.227696533447628
