"female","race","outcome","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"DIAB","medBMI","leg_tot",398.943801478468,79.7948980708022,376.532401455957,334.940103292467,481.997189683602,0.0141527568412333,0.00272887122463947,0.0133964366506043,0.0119575493248556,0.0169908365196456,1.33964366506043,1.19575493248555,1.69908365196456,0.543827769009983,0.108773920625924,0.513277246281057,0.456579920406025,0.657043561933529
0,1,"DIAB","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"DIAB","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ECA","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ECA","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ECA","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ECA","medBMI","leg_tot",59.7580209188672,11.8269791894508,57.7341536206705,49.5065993574703,71.7297296837313,0.00721332252056927,0.00136840737145394,0.00687415940361689,0.00608778019891605,0.00862715349163201,0.687415940361689,0.608778019891605,0.862715349163201,0.0814602735430982,0.0161221697965739,0.0787014006555594,0.0674858548499023,0.097779734190702
0,1,"ECA","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ECA","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ENDO","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ENDO","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ENDO","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ENDO","medBMI","leg_tot",5.15173292604046,0.727534242280796,5.04679304612706,4.5105884520417,5.88207629796562,0.00655886647047086,0.000726448704994279,0.00640502547351425,0.00594582820453434,0.0073026695838205,0.640502547351425,0.594582820453434,0.73026695838205,0.00702268192492539,0.000991752027206991,0.0068796311479438,0.00614869374008416,0.00801826327020097
0,1,"ENDO","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ENDO","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"GC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"GC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"GC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"GC","medBMI","leg_tot",3.02645259683301,0.613265616322593,3.37655167750532,2.37124036400195,3.38408061109262,0.00385759076696668,0.000974066078232634,0.00381589921296489,0.00295058283684763,0.00480003651798726,0.381589921296489,0.295058283684763,0.480003651798726,0.0041255659510203,0.000835984594068818,0.00460281011741385,0.00323240103534032,0.00461307332526577
0,1,"GC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"GC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HHD","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HHD","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HHD","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HHD","medBMI","leg_tot",203.881265864905,18.7504149991363,195.357891106341,191.129157623778,223.878242650812,0.0116098640039076,0.0010972494039725,0.0110699106086856,0.0108963554177867,0.0127823329759672,1.10699106086856,1.08963554177867,1.27823329759672,0.277924593758169,0.0255599819302919,0.266305794663639,0.260541316842359,0.305183849904328
0,1,"HHD","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HHD","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HSTK","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HSTK","direct","leg_tot",176.168224304427,20.5459261664806,183.32547764823,154.517170092369,191.735613174251,0.0157463467374669,0.00185470895430216,0.0163244897407467,0.0138040789708266,0.0171971929513193,1.63244897407467,1.38040789708266,1.71971929513193,0.240147038351961,0.0280075668501496,0.24990358326825,0.210632995358382,0.261368018166694
0,1,"HSTK","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HSTK","medBMI","leg_tot",57.0378447218429,12.3302352005901,63.6576681083294,43.8538239052883,64.5950156598839,0.00509781470721863,0.00110214363524645,0.00571166143141584,0.00391974199803634,0.00575411770083329,0.571166143141584,0.391974199803634,0.575411770083329,0.0777522140443429,0.0168081927220198,0.0867761511757671,0.0597801673533629,0.0880539141736122
0,1,"HSTK","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"HSTK","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"IHD","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"IHD","direct","leg_tot",1031.24000290576,68.2535052446895,1006.27577922884,980.347795591423,1103.35180034549,0.00609054879952417,0.000372125231290978,0.00595591317087957,0.00581205162555605,0.00648348625784021,0.595591317087957,0.581205162555605,0.648348625784021,1.40575426417387,0.0930410532680857,1.37172381172173,1.33637959169824,1.50405482123382
