"age","female","pathway","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,"direct","Cancer","dairy_tot",89.555149159251,15.9552167248742,95.35294814901,72.7037404098171,101.47842876739,0.0203241262509357,0.00306058412992428,0.0216531263408914,0.0170651684962198,0.0224534339291893,2.16531263408914,1.70651684962198,2.24534339291893,0.262213986984777,0.0467162528331661,0.279189716500202,0.212873718826195,0.297124885055247
25,0,"direct","Cancer","leg_tot",5.79837895335889,1.95257683661942,6.92178335483064,3.71264402864879,6.929220136818,0.00132147039550092,0.00045014017152282,0.00153127898683207,0.000841054603818801,0.00162354888455156,0.153127898683207,0.0841054603818801,0.162354888455156,0.016977427626246,0.00571706889029522,0.0202667119373283,0.0108704770428788,0.0202884865451934
25,0,"direct","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"direct","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"direct","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"direct","HHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"direct","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"direct","HSTK","leg_tot",5.70738691163727,0.91152123035678,5.32094526285808,5.06615676481453,6.67709245992233,0.0364630364993476,0.00578887085128165,0.0361059136769614,0.0311232406716586,0.0421063867260649,3.61059136769614,3.11232406716586,4.21063867260649,0.016711006473831,0.00266889864264639,0.0155795203849275,0.0148335095911645,0.0195502665320654
25,0,"direct","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"direct","IHD","leg_tot",8.87554198299141,0.638581552029114,8.61036997860938,8.42217299313099,9.55430717657655,0.0116875111303549,0.000958319362882941,0.0116214168941094,0.0108068231837391,0.0126243791777795,1.16214168941094,1.08068231837391,1.26243791777795,0.0259872410672049,0.00186974190032024,0.0252108277715036,0.0246597943316167,0.0279746391041392
25,0,"direct","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"direct","ISTK","leg_tot",2.33398341148105,0.662992568663457,2.45140497898281,1.66168909784537,2.90646939274023,0.0336042207839659,0.0119561782776455,0.0341701387350249,0.0220148829625495,0.044712528346982,3.41701387350249,2.20148829625495,4.4712528346982,0.00683381247897299,0.0019412164057857,0.00717761825297586,0.00486536092637576,0.00851002912366779
25,0,"direct","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"direct","OSTK","leg_tot",1.60403532991153,0.351442134963867,1.45193793176164,1.35914380551669,1.97820964273378,0.0384001227286239,0.00632666056286294,0.035669622758845,0.0339858648227151,0.0451353056088446,3.5669622758845,3.39858648227151,4.51353056088446,0.0046965529404972,0.00102900887630087,0.00425121768559216,0.00397952009991577,0.00579212074774791
25,0,"direct","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"direct","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"medBMI","Cancer","leg_tot",5.44838596437839,0.159577580895139,5.42908460519106,5.30582431896848,5.60735376509753,0.00124059838644194,3.69239206688621e-05,0.00124116486090367,0.00120528300634529,0.00127543226324613,0.124116486090367,0.120528300634529,0.127543226324613,0.0159526617929147,0.000467236938497999,0.0158961481653427,0.0155352468504464,0.016418113318819
25,0,"medBMI","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"medBMI","DIAB","leg_tot",9.70695950598685,1.07943202148834,9.13260598205648,9.04096073976574,10.8611587675488,0.020908968418177,0.00240378063244809,0.0210987587471686,0.0185500605461104,0.0231065545106007,2.10987587471686,1.85500605461104,2.31065545106007,0.0284215991761504,0.00316053489599103,0.0267399144392881,0.0264715807410603,0.0318010496375734
25,0,"medBMI","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"medBMI","HHD","leg_tot",5.30157787854817,2.39836776264282,5.08969635083985,3.11985639638006,7.66339865926837,0.0126269004934073,0.00620293607289561,0.0117354069688979,0.00715881921439031,0.0188527512682572,1.17354069688979,0.715881921439031,1.88527512682572,0.0155228134383696,0.00702232735026794,0.0149024325817643,0.0091348179551356,0.022438132649718
