"female","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"Cancer","dairy_tot",5706.34280337738,422.218268927165,5878.20390809994,5257.9423146977,6008.66135304288,0.0137888617055981,0.000999189209036166,0.014192250264281,0.0127280991075348,0.014506744028781,1.4192250264281,1.27280991075348,1.4506744028781,4.84133823770974,0.35821567691427,4.98714751810838,4.46090921224569,5.09782937483496
0,"Cancer","leg_tot",1098.73111265004,97.6552093486229,1072.6156283914,1019.58006333817,1200.08032358174,0.00265543848976569,0.000240309042149911,0.00258970761707217,0.00246157804987317,0.0029051701714477,0.258970761707217,0.246157804987317,0.29051701714477,0.932178302622422,0.0828519974038742,0.910021573366197,0.865025484295142,1.01816434081749
0,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"DIAB","leg_tot",500.938125557656,79.4966175143601,502.885407804846,424.605738640345,575.615322564855,0.0122551538212601,0.00189172080625602,0.0122843667819697,0.0104457642664521,0.014039712359465,1.22843667819697,1.04457642664521,1.4039712359465,0.425002665552012,0.0674460030534912,0.426654766087815,0.360241238436258,0.488359807212333
0,"HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"HHD","leg_tot",261.890188670852,33.6867823336113,248.034098306359,237.875811510376,297.682242641148,0.0101611485740103,0.00133713779679105,0.0096128580434001,0.00920668321847902,0.0115816608805601,0.96128580434001,0.920668321847902,1.15816608805601,0.222191170103344,0.0285803207126973,0.210435476059327,0.201817048462249,0.252557631681854
0,"HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"HSTK","leg_tot",318.169259388781,25.5662339304503,313.787924383773,296.012379897387,344.050273634432,0.0199375349771724,0.00168980477170403,0.0196660335856058,0.0184632249024065,0.02164262123477,1.96660335856058,1.84632249024065,2.164262123477,0.269939093149295,0.0216907378660223,0.266221909407827,0.251140897596353,0.291896894882486
0,"IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"IHD","leg_tot",2273.63364178847,142.072080268344,2337.38394174113,2122.1789931971,2370.90053542009,0.010620929304416,0.000665105942065795,0.010860055371266,0.00991885867097319,0.0111197427810363,1.0860055371266,0.991885867097319,1.11197427810363,1.92898146287652,0.12053587006848,1.98306807762452,1.80048529523123,2.01150400798602
0,"ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ISTK","leg_tot",331.988202097507,43.5685832223351,320.888342977554,296.335489865592,377.075794581381,0.0193916885700273,0.00255437461337714,0.0186544052217498,0.0173554130658761,0.0220546549202145,1.86544052217498,1.73554130658761,2.20546549202145,0.281663270620876,0.0369641739350619,0.272246000358246,0.251415028453534,0.319916192511454
0,"OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"OSTK","leg_tot",670.096441902581,79.6278897240361,664.614685481654,596.914253016374,747.938123746575,0.0228822692993411,0.00258586010819152,0.0224744812046327,0.0206220296465644,0.02548912883262,2.24744812046327,2.06220296465644,2.548912883262,0.568518863818716,0.067557376167612,0.563868067698522,0.506430107222391,0.634560797117205
0,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"Other_CVD","leg_tot",249.330644096549,15.2958846275493,256.753802502561,232.990410048154,259.361193499835,0.0047800968841908,0.000297256441007531,0.0049028784047796,0.00446420645001026,0.00499162302587087,0.49028784047796,0.446420645001026,0.499162302587087,0.211535483003753,0.0129772349258656,0.217833390766029,0.197672207936436,0.220045536473135
1,"Cancer","dairy_tot",5245.90005605066,235.993854314396,5272.66346867436,5011.4153416968,5457.63586967439,0.0087752085874302,0.000384700459053209,0.00881231847928439,0.00839524897778647,0.00912362478899786,0.881231847928439,0.839524897778647,0.912362478899786,4.13027219276121,0.185805837648973,4.151343920732,3.94565455136976,4.29697886537749
1,"Cancer","leg_tot",1515.6297849432,138.282654391924,1560.84155877867,1370.42237947701,1622.40718264925,0.00253547402535928,0.000232457850389876,0.00261509930641626,0.00229073860189653,0.0027125279599236,0.261509930641626,0.229073860189653,0.27125279599236,1.19330591288168,0.108874548899842,1.22890265133701,1.07897927635183,1.27737532172449
1,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"DIAB","leg_tot",377.911015497605,46.4048056968642,353.185058934196,349.309115475344,427.529978598765,0.0119330238648269,0.00148728308962276,0.0110770658041408,0.0110718906003585,0.0135217214808786,1.10770658041408,1.10718906003585,1.35217214808786,0.297541955044985,0.0365360522565004,0.278074384229281,0.275022724586939,0.33660862069638
1,"HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"HHD","leg_tot",227.801003973199,48.8294501407959,232.302303337643,179.648035723801,272.12786776282,0.00902187134697608,0.00193249447326053,0.00910962922328015,0.00715012478935394,0.0108190237097398,0.910962922328015,0.715012478935394,1.08190237097398,0.179355333144095,0.0384450557481993,0.182899356361771,0.141442894166153,0.214255352387011
1,"HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"HSTK","leg_tot",497.191421379249,21.2940169148553,501.837305126642,475.351991916339,515.081849656875,0.0269613104302374,0.000886417962161861,0.027164395137867,0.0260496444513511,0.0277003544076385,2.7164395137867,2.60496444513511,2.77003544076385,0.391455399504527,0.0167654901915585,0.395113258832313,0.374260487811083,0.405541130769353
1,"IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"IHD","leg_tot",1385.69860539084,169.970881237002,1417.78519098581,1212.76196435909,1531.36164866688,0.00924764176633101,0.00112401908094999,0.00941127011420761,0.00811880148805249,0.0102373979489144,0.941127011420761,0.811880148805249,1.02373979489144,1.09100675884827,0.133823747469719,1.11626959855691,0.954847969711762,1.20569213423243
1,"ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"ISTK","leg_tot",497.871550389103,82.5141678712896,473.879943568457,432.205322999661,583.930643576095,0.0194409802435989,0.00331071821048511,0.0184379699834953,0.016832261181284,0.022902258027002,1.84379699834953,1.6832261181284,2.2902258027002,0.391990887772866,0.0649661582237979,0.373101495018102,0.3402896753799,0.45974808400738
1,"OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"OSTK","leg_tot",828.778889640432,64.5376356291674,857.916476907782,759.96543769203,872.825392411588,0.0201126531906531,0.00167141665019934,0.0209627065316402,0.0183258452624812,0.021176915778986,2.09627065316402,1.83258452624812,2.1176915778986,0.652525279790868,0.0508126344340578,0.675466274695199,0.598346152465982,0.687204561447073
1,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Other_CVD","leg_tot",263.142007260862,35.1296292327066,243.443655372871,242.339802548257,300.68781107826,0.00453451170836599,0.000622599065489501,0.00418057785212427,0.00417010922124226,0.00519975797329517,0.418057785212427,0.417010922124226,0.519975797329517,0.207180484516347,0.0276587295243084,0.19167131465476,0.190802214485544,0.236741548929498
