"outcome","X1","X2","X3"
"AA",9856.49752922467,9848.32513482093,10013.4073422523
"AFF",25964.319463598,25930.0917035214,26020.320580711
"APCA",48921.1510715778,49594.6107979213,48445.5625897351
"BC",218174.314236205,218801.160549768,217142.258510094
"CC",143591.011368179,141584.144773196,143421.611209675
"CM",21162.2720932087,21373.706369317,20904.52957431
"DIAB",72821.3746200808,72533.4566093702,72237.2243668371
"ECA",10847.8881520415,10730.9966136545,10489.4525477947
"ENDO",1737.74046396929,1780.71160838377,1677.35060621067
"GC",4364.86980994416,4237.59007806542,3976.37248194251
"HHD",50836.0162386418,51303.0680012072,50938.8311674466
"HSTK",34129.5658749163,34429.915357535,34637.8520387954
"IHD",363759.699096211,364526.420263455,363414.038453597
"ISTK",42768.5251982464,42555.3594504093,42903.0540363374
"KC",65377.3077886659,65325.7086608669,63957.8658367882
"LC",199681.370985238,200621.820826006,201467.578069391
"LVC",36221.6535795554,35826.1663943541,35949.1358999761
"MLPC",59960.7964556114,59815.6906775568,59512.0300911682
"MMC",25512.9846938908,25377.0380564383,25986.6531681894
"OC",20339.7805104093,19969.1127660964,20399.4745194675
"OSTK",69835.2040700341,70563.8668397357,71074.554409929
"OTH",40505.5035835453,40048.2476988712,40463.3350223436
"PC",53324.0035949963,53151.9674898008,53567.5710486454
"PVD",7374.26242891089,7565.71851919477,7693.99620761713
"RHD",3569.64688227125,3631.4882940818,3514.82754819125
"SCC",7987.17995479237,8071.27291175598,7951.87298876313
"SCNC",11705.8245257206,12076.5987718221,11835.3464958365
"TC",47737.0451850627,47863.6629481322,48431.5784687043
"UC",58616.935450808,58314.2495061464,58521.6057232899
