"age","race","pathway","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,1,"direct","Cancer","dairy_tot",112.065538636892,14.3430422250859,118.871694545708,96.7507853805345,121.595059370755,0.0124690258610521,0.00116662868857855,0.0131185657153989,0.0112220193787456,0.0131639234671639,1.31185657153989,1.12220193787456,1.31639234671639,0.298937518869442,0.0382604100061439,0.317093103406564,0.258085046323114,0.324357744559217
25,1,"direct","Cancer","leg_tot",6.18102374964604,1.91129061022382,6.76881347165124,4.18106938685211,7.68135684873554,0.000692690730214607,0.000223439857914882,0.000787601635314468,0.000454969952778022,0.000849737238316309,0.0787601635314468,0.0454969952778022,0.0849737238316309,0.0164880294715687,0.00509841365872563,0.0180559726881049,0.0111531031209901,0.0204902040880914
25,1,"direct","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","HHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","HSTK","leg_tot",4.1824799552874,0.452299246173613,4.26540699223002,3.72300278985568,4.57146913931789,0.0410053778666868,0.00775215559153326,0.0400715324822601,0.0340778997946145,0.0487266245155219,4.00715324822601,3.40778997946145,4.87266245155219,0.0111568658462076,0.00120651911445994,0.011378075711188,0.00993119945953743,0.0121945038476444
25,1,"direct","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","IHD","leg_tot",6.57051786905976,1.17795367011499,6.54378468940213,5.46303964107353,7.70071929975499,0.0121063462335497,0.00191928124609767,0.0123935222946468,0.0101763518258831,0.0137922409892839,1.23935222946468,1.01763518258831,1.37922409892839,0.0175270144002811,0.00314221973829347,0.0174557030007595,0.0145727895984102,0.0205418538917455
25,1,"direct","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","ISTK","leg_tot",2.91600063094809,0.871015049330825,3.26635802350726,1.99146316001012,3.54273431821077,0.0419136957652567,0.0124599938333539,0.0475867294387969,0.0286246809237935,0.0503806319842108,4.75867294387969,2.86246809237935,5.03806319842108,0.00777850179671907,0.00232345358717783,0.0087130885655255,0.00531227586298636,0.00945032897696631
25,1,"direct","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","OSTK","leg_tot",1.73290578748634,0.603641052405756,1.39276331818302,1.37692374570801,2.3780089281725,0.0372144954283957,0.0119944883194829,0.0322539706269789,0.0286838786638927,0.049961558274103,3.22539706269789,2.86838786638927,4.9961558274103,0.00462256785490638,0.00161022702151643,0.00371522963949724,0.00367297719906617,0.00634339599384437
25,1,"direct","Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","Other_CVD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medBMI","Cancer","leg_tot",13.7470311001499,3.14531340829829,14.6326514575522,10.4727914564522,16.2684934400558,0.00152558222372856,0.000298038978475946,0.00161484532099956,0.00121419832872529,0.00176109248605149,0.161484532099956,0.121419832872529,0.176109248605149,0.0366705359996106,0.00839019914400297,0.0390329495972457,0.0279364230227176,0.0433965974185137
25,1,"medBMI","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medBMI","DIAB","leg_tot",8.63510089331669,2.54140387162071,7.52161161202602,6.87455274557815,11.3421149301523,0.0204979384796078,0.00626094924487646,0.0187759457843134,0.0154530712540242,0.0270064994961916,1.87759457843134,1.54530712540242,2.70064994961916,0.0230343392592736,0.00677925593423592,0.0200640798281806,0.0183380347437488,0.0302553642912275
25,1,"medBMI","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medBMI","HHD","leg_tot",3.78939111108051,0.692016356216275,4.15116852815231,3.04945840839811,4.22181300925188,0.0160300760448321,0.00263517713459334,0.0168709897941834,0.0132667657494403,0.0180786096532754,1.68709897941834,1.32667657494403,1.80786096532754,0.0101082919026761,0.00184597026936758,0.0110733418614583,0.00813450362698738,0.0112617877133999
25,1,"medBMI","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
