"race","outcome","riskfactor","V1","V2","V3"
2,"ECA","leg_tot",1.34671189132783,1.66942399218282,1.85602594370116
3,"ECA","leg_tot",1.61419848905895,0.499699066938599,1.36557504533825
4,"ECA","leg_tot",0.589720176979465,0.847164040962446,0.639705955056701
1,"ENDO","leg_tot",9.11064009258433,8.75625713636403,7.57969566558063
2,"ENDO","leg_tot",1.51213120234682,1.16076453512514,1.19321553970299
3,"ENDO","leg_tot",0.300812201716731,0.34356898413701,0.33037245794473
4,"ENDO","leg_tot",0.332674860504344,0.521982304350654,0.468271205675728
1,"GC","leg_tot",9.80915743345503,9.51263302696013,9.7464471824393
2,"GC","leg_tot",1.59043559973766,1.49553183548377,1.9511300882289
3,"GC","leg_tot",0.798279292837138,1.00123119802829,1.1034159394651
4,"GC","leg_tot",1.29037659719872,0.755673568286303,1.09124183729613
1,"HHD","leg_tot",466.660644159568,378.232811376153,300.031506421399
2,"HHD","leg_tot",89.9431503103611,73.6637155628428,95.1461872695634
3,"HHD","leg_tot",12.8708242124818,19.7500513105646,10.9189024571088
4,"HHD","leg_tot",5.04463428787158,8.68982339444165,8.12132716979986
1,"HSTK","leg_tot",646.312556927904,625.927472239118,582.81887441838
2,"HSTK","leg_tot",121.34038839332,122.845677659753,148.226645737905
3,"HSTK","leg_tot",25.9093065573396,29.4434871109595,38.7462852977136
4,"HSTK","leg_tot",26.0388050427518,37.4085925005848,41.0639504183604
1,"IHD","leg_tot",3341.16186009914,3044.86555891149,2983.8134810524
2,"IHD","leg_tot",316.420193501778,326.564281555947,509.931975118371
3,"IHD","leg_tot",78.2897213774984,85.0438351671293,64.1183586921957
4,"IHD","leg_tot",54.5779826737396,82.881534327403,90.32795906086
1,"ISTK","leg_tot",691.790823217235,720.209450752719,603.484395216311
2,"ISTK","leg_tot",81.4088195590453,89.6605584668655,142.170982088461
3,"ISTK","leg_tot",22.9906577167523,51.9773948648955,21.8450862451235
4,"ISTK","leg_tot",13.85465030038,22.9186160359266,27.267822996115
1,"KC","leg_tot",248.156181184567,251.690861169437,238.431930580112
2,"KC","leg_tot",23.3763602623244,30.9344339062832,31.3133411819149
3,"KC","leg_tot",14.3150034476348,8.07106112117508,10.5174384331917
4,"KC","leg_tot",7.65435589333432,8.22541830424568,9.79429098403779
1,"LC","leg_tot",0,0,0
2,"LC","leg_tot",0,0,0
3,"LC","leg_tot",0,0,0
4,"LC","leg_tot",0,0,0
1,"LVC","leg_tot",120.362700356812,97.5581260172413,102.846165874228
2,"LVC","leg_tot",16.2366232830605,14.1569322473271,16.3690222290692
3,"LVC","leg_tot",7.80579475624893,8.61303864416846,9.06465404988836
4,"LVC","leg_tot",6.89170327091541,8.93171818756073,11.473514958272
1,"MLPC","leg_tot",696.621264975958,723.601688525368,666.397447673768
2,"MLPC","leg_tot",54.8725320470326,71.1196495203327,61.683792843022
3,"MLPC","leg_tot",13.0361195887262,13.336349716706,17.0727073582568
4,"MLPC","leg_tot",29.0308954428996,31.502831690714,34.7925946724272
1,"MMC","leg_tot",28.7246054136117,23.6792679659661,24.8891706430749
