"race","pathway","disease_type1","riskfactor","V1","V2","V3"
1,"direct","CMD","dairy_tot",0,0,0
1,"direct","Cancer","dairy_tot",0.0102309735901297,0.00915904936350109,0.00952375944178466
1,"medBMI","CMD","dairy_tot",0,0,0
1,"medBMI","Cancer","dairy_tot",0,0,0
1,"medSBP","CMD","dairy_tot",0,0,0
1,"medSBP","Cancer","dairy_tot",0,0,0
2,"direct","CMD","dairy_tot",0,0,0
2,"direct","Cancer","dairy_tot",0.0148304540267504,0.0150710216507138,0.0161585860936875
2,"medBMI","CMD","dairy_tot",0,0,0
2,"medBMI","Cancer","dairy_tot",0,0,0
2,"medSBP","CMD","dairy_tot",0,0,0
2,"medSBP","Cancer","dairy_tot",0,0,0
3,"direct","CMD","dairy_tot",0,0,0
3,"direct","Cancer","dairy_tot",0.0119630915708014,0.0122928694411731,0.0124588616171168
3,"medBMI","CMD","dairy_tot",0,0,0
3,"medBMI","Cancer","dairy_tot",0,0,0
3,"medSBP","CMD","dairy_tot",0,0,0
3,"medSBP","Cancer","dairy_tot",0,0,0
4,"direct","CMD","dairy_tot",0,0,0
4,"direct","Cancer","dairy_tot",0.0147776722696685,0.0132981470640279,0.0148213639165822
4,"medBMI","CMD","dairy_tot",0,0,0
4,"medBMI","Cancer","dairy_tot",0,0,0
4,"medSBP","CMD","dairy_tot",0,0,0
4,"medSBP","Cancer","dairy_tot",0,0,0
1,"direct","CMD","leg_tot",0.00662556838398288,0.00654570134312817,0.00578417564606314
1,"direct","Cancer","leg_tot",0.000938985365278456,0.000979285278400923,0.000901925845660135
1,"medBMI","CMD","leg_tot",0.00651414119982874,0.00632630414752435,0.00581877023500701
1,"medBMI","Cancer","leg_tot",0.00211807520839655,0.00187068536980719,0.00191252809728598
1,"medSBP","CMD","leg_tot",0,0,0
1,"medSBP","Cancer","leg_tot",0,0,0
2,"direct","CMD","leg_tot",0.00481405526478911,0.00498107297235861,0.00739447319593821
2,"direct","Cancer","leg_tot",0.000498791389455542,0.000645614477447459,0.000555033459733417
2,"medBMI","CMD","leg_tot",0.00525113482146738,0.00527431504445839,0.00661916771780658
2,"medBMI","Cancer","leg_tot",0.00156696133579373,0.00163237092532307,0.00175257822217089
2,"medSBP","CMD","leg_tot",0,0,0
2,"medSBP","Cancer","leg_tot",0,0,0
3,"direct","CMD","leg_tot",0.00192472288247248,0.00251776655220833,0.00203469173619509
3,"direct","Cancer","leg_tot",0.000148260017179932,0.000152069961110792,0.000195364258924625
3,"medBMI","CMD","leg_tot",0.0020183691403043,0.00270510916664836,0.00182016994014512
3,"medBMI","Cancer","leg_tot",0.000834435448760244,0.000879455017188493,0.000943065760901327
3,"medSBP","CMD","leg_tot",0,0,0
3,"medSBP","Cancer","leg_tot",0,0,0
4,"direct","CMD","leg_tot",0.00303101711140301,0.00466182363421312,0.00555324507219772
4,"direct","Cancer","leg_tot",0.000400213747127737,0.000422307090232574,0.000472269730833539
4,"medBMI","CMD","leg_tot",0.00270931672396789,0.0039359766754692,0.00378374207525806
4,"medBMI","Cancer","leg_tot",0.00120731245969701,0.0011852826964238,0.00145790295974297
4,"medSBP","CMD","leg_tot",0,0,0
4,"medSBP","Cancer","leg_tot",0,0,0
