"female","outcome","X1","X2","X3"
1,"AA",4140.99482879231,4058.6128845862,4223.30619412277
0,"AA",5715.50270043236,5789.71225023473,5790.10114812958
1,"AFF",15439.0732845471,15378.5560752243,15445.7580361676
0,"AFF",10525.2461790509,10551.5356282972,10574.5625445433
1,"APCA",0,0,0
0,"APCA",48921.1510715778,49594.6107979213,48445.5625897351
1,"BC",218174.314236205,218801.160549768,217142.258510094
0,"BC",0,0,0
1,"CC",68437.8635250034,67884.2392916681,67614.0141273799
0,"CC",75153.1478431756,73699.9054815282,75807.5970822952
1,"CM",8279.87417383416,8303.54396416667,8192.22298614365
0,"CM",12882.3979193746,13070.1624051503,12712.3065881663
1,"DIAB",31884.3514319622,31531.5350905385,31606.6387802196
0,"DIAB",40937.0231881186,41001.9215188317,40630.5855866175
1,"ECA",1484.97266526769,1441.65962728424,1441.63633659918
0,"ECA",9362.91548677383,9289.33698637025,9047.81621119556
1,"ENDO",709.458646668006,740.112098961612,701.983106513329
0,"ENDO",1028.28181730129,1040.59950942216,975.367499697344
1,"GC",2945.80824458373,2885.11098748197,2682.13168568172
0,"GC",1419.06156536043,1352.47909058344,1294.24079626079
1,"HHD",25137.4237058512,25500.7418681742,25099.6075996107
0,"HHD",25698.5925327906,25802.326133033,25839.2235678359
1,"HSTK",18235.4858916291,18474.0835413296,18600.9976373226
0,"HSTK",15894.0799832872,15955.8318162054,16036.8544014728
1,"IHD",150647.593128314,149298.793715114,149533.853328886
0,"IHD",213112.105967897,215227.626548341,213880.185124711
1,"ISTK",25675.8022418056,25488.0565392213,25701.3078984643
0,"ISTK",17092.7229564408,17067.302911188,17201.7461378731
1,"KC",23650.6712202396,23678.6750876771,23247.1759127339
0,"KC",41726.6365684263,41647.0335731899,40710.6899240543
1,"LC",98197.4625194025,99961.809109111,99191.2155248464
0,"LC",101483.908465836,100660.011716895,102276.362544545
1,"LVC",10534.0936147017,10251.3652562987,10242.3392763032
0,"LVC",25687.5599648538,25574.8011380555,25706.7966236729
1,"MLPC",16688.9339526283,16270.3623059778,16339.6613146731
0,"MLPC",43271.8625029831,43545.3283715791,43172.3687764951
1,"MMC",11310.0728417522,11233.2166740422,11528.2521859708
0,"MMC",14202.9118521387,14143.8213823961,14458.4009822186
1,"OC",20339.7805104093,19969.1127660964,20399.4745194675
0,"OC",0,0,0
1,"OSTK",40925.8449338534,41230.9911436825,41502.5843417321
0,"OSTK",28909.3591361807,29332.8756960533,29571.9700681969
1,"OTH",23461.7027664902,22953.384486707,23141.0717065722
0,"OTH",17043.8008170551,17094.8632121642,17322.2633157713
1,"PC",25411.9498805076,25045.1311019098,25282.9749438381
0,"PC",27912.0537144887,28106.836387891,28284.5961048073
1,"PVD",3819.35667011922,4020.12552347501,4157.99586663113
0,"PVD",3554.90575879167,3545.59299571975,3536.00034098599
1,"RHD",2381.59844629138,2355.9815849449,2244.94614846963
0,"RHD",1188.04843597987,1275.50670913691,1269.88139972162
1,"SCC",1717.59455534962,1740.47845674565,1744.78983514737
0,"SCC",6269.58539944275,6330.79445501033,6207.08315361576
1,"SCNC",5684.94200313303,5522.88888225775,5612.51149233516
0,"SCNC",6020.88252258759,6553.70988956433,6222.83500350138
1,"TC",34984.6569917304,35329.2868073591,35867.4297405866
0,"TC",12752.3881933323,12534.3761407731,12564.1487281178
1,"UC",58616.935450808,58314.2495061464,58521.6057232899
0,"UC",0,0,0
