"age","disease_type","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"CMD","leg_tot",84.8853444284055,5.05102076770471,84.1646012714607,80.4299699174807,89.9533506227335,0.0184668190237608,0.000985108143418506,0.0180291037597896,0.0177890571139964,0.0195166389079007,1.80291037597896,1.77890571139964,1.95166389079007,0.125996859818625,0.00749732194520595,0.124927047648782,0.11938366644028,0.133519393541336
25,"Cancer","dairy_tot",193.07279488199,15.7142390355253,200.504246856993,176.295341983177,203.53351360205,0.0125713404156197,0.000799744856831133,0.0129077027371341,0.0117208199956336,0.0131359528623187,1.29077027371341,1.17208199956336,1.31359528623187,0.286581459206469,0.0233249306608561,0.297612098465205,0.26167838088076,0.302108494162251
25,"Cancer","leg_tot",32.9927395162613,1.72442044305502,32.9020134252491,31.3948000654752,34.6677961444077,0.00215010817313018,0.000111986450568203,0.00208595784792492,0.00208499943801183,0.00226974468467301,0.208595784792492,0.208499943801183,0.226974468467301,0.0489717230206785,0.00255958861090828,0.0488370566345299,0.0465998724458227,0.0514580400237605
35,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"CMD","leg_tot",246.134855177368,33.952750169243,253.094784186653,211.434105797193,274.919664899649,0.0195410929008389,0.00259507279021523,0.0201924638624275,0.0168578913605069,0.0216706291238206,2.01924638624275,1.68578913605069,2.16706291238206,0.602387257633712,0.0830955211476831,0.619420897774634,0.517461092902208,0.672834828245434
35,"Cancer","dairy_tot",537.023813746964,29.0932215884395,542.989581367523,507.289101740465,561.687623275989,0.018167565868803,0.000821193254938955,0.0180822338563286,0.017426863685873,0.0189808002623362,1.80822338563286,1.7426863685873,1.89808002623362,1.3143051284383,0.071202373819673,1.32890567086874,1.24153277927541,1.3746670165353
35,"Cancer","leg_tot",80.6051242623911,11.2966731880221,83.3779017524819,68.9401135960866,89.9132740621185,0.00273202604144473,0.000424572499996078,0.00281962359448428,0.00229794396578667,0.00309165019701917,0.281962359448428,0.229794396578667,0.309165019701917,0.19727193745338,0.0276473316922676,0.204057997181006,0.168723141385958,0.22005258275232
45,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,"CMD","leg_tot",704.870593123013,54.8535783978968,725.631628462123,646.815062109644,745.279244098137,0.0183615696812505,0.00149065374987725,0.0189476619654143,0.0167809815001866,0.0194439794207752,1.89476619654143,1.67809815001866,1.94439794207752,1.80243453403823,0.140266858888079,1.85552287028418,1.65397991696192,1.90576406530547
45,"Cancer","dairy_tot",1406.02232272223,152.666238138399,1421.73580776971,1254.88849272428,1543.79969042983,0.0144993753022693,0.0014972709469626,0.0145559449252707,0.0130536874311078,0.0158969789938796,1.45559449252707,1.30536874311078,1.58969789938796,3.59535950971488,0.39038499050326,3.63554068392757,3.20889306167817,3.94767195967081
45,"Cancer","leg_tot",317.656125564036,34.2619867610566,327.014854650263,282.05358977746,345.30374162732,0.00327519017626614,0.000326606171815879,0.00336830604540833,0.00293494630827797,0.00353628555548345,0.336830604540833,0.293494630827797,0.353628555548345,0.812282958391883,0.0876118095227609,0.836214296518766,0.721243212051014,0.882981067324902
55,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"CMD","leg_tot",1263.60449165736,140.146027279447,1328.62910597617,1114.05120108378,1357.88686005995,0.0133065611463178,0.00147620091993542,0.0139744967668319,0.0117324480225765,0.0143129289926221,1.39744967668319,1.17324480225765,1.43129289926221,2.64263289887112,0.293093689346572,2.77862179901337,2.32986537674416,2.83980985587716
55,"Cancer","dairy_tot",3005.60282741366,245.979823609345,2929.97447415364,2812.50002227242,3262.98973282591,0.0101061689323319,0.000847931214278315,0.0098730769503961,0.00942285831123127,0.0109876077380779,0.98730769503961,0.942285831123127,1.09876077380779,6.28575235772201,0.514428667055443,6.12758738147201,5.88190777731757,6.82403716793894
55,"Cancer","leg_tot",723.650910358286,63.0006378024934,731.408794577466,660.844503876555,779.863115253713,0.00243286227999322,0.000210629609447145,0.00244969823415123,0.00222608886042352,0.0026253251385286,0.244969823415123,0.222608886042352,0.26253251385286,1.5134036920861,0.131756067033574,1.52962810423294,1.38205382974841,1.630962804099
65,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"CMD","leg_tot",2207.93207440962,177.353220439063,2215.99772298818,2036.14934062599,2372.85900690148,0.0155673269295902,0.00124089523106615,0.0156364968120043,0.014360453640823,0.0167154058183052,1.56364968120043,1.4360453640823,1.67154058183052,7.5582178666829,0.607117535440806,7.58582828545413,6.97016928370361,8.12279759370664
65,"Cancer","dairy_tot",2863.94854754097,144.083392230274,2797.94659423475,2766.35193618174,3017.64681921048,0.00932409230399128,0.000424010430762851,0.00913841550896923,0.00903028525233979,0.0097757246314115,0.913841550896923,0.903028525233979,0.97757246314115,9.80390082293302,0.493227885979385,9.57796219533805,9.46980700716188,10.3300424721599
65,"Cancer","leg_tot",860.799883374228,89.3915028344372,875.464109443209,770.507020298556,938.628154291265,0.00280285344325675,0.000291051192218863,0.00283495083522982,0.0025139773365731,0.00306444676676331,0.283495083522982,0.25139773365731,0.306444676676331,2.94669982539989,0.306005996146208,2.99689856872187,2.63760828275586,3.21312243622024
75,"CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"CMD","leg_tot",4177.01363823793,75.7370883771068,4191.28385106777,4099.96289752343,4241.93469804705,0.00922218507593674,0.000167609496966213,0.00927092987489092,0.00904737249824664,0.00935556457451577,0.927092987489092,0.904737249824664,0.935556457451577,20.3636458394649,0.369231077079814,20.4332155333392,19.9880104857244,20.6801469534123
75,"Cancer","dairy_tot",2946.57255312222,434.53841189263,2719.6661590529,2674.8184242575,3411.19711694587,0.0111103561424786,0.00163784432237082,0.0102768412620751,0.0100679145892227,0.0128612853440776,1.02768412620751,1.00679145892227,1.28612853440776,14.3650380651812,2.11844803244595,13.2588311317782,13.040190862157,16.630161161598
75,"Cancer","leg_tot",598.656114518038,75.2076396114436,594.945918015881,528.850926059227,671.614970003682,0.00225691495583763,0.00027894126377466,0.00224292562451247,0.001998116279194,0.00252760456410763,0.224292562451247,0.1998116279194,0.252760456410763,2.9185495072547,0.366649925068383,2.90046167367114,2.57823744254907,3.27423623050637
