"female","race","disease_type","riskfactor","V1","V2","V3"
0,1,"CMD","dairy_tot",0,0,0
0,1,"Cancer","dairy_tot",0.0128181456824102,0.010522747630782,0.0127595578903064
0,2,"CMD","dairy_tot",0,0,0
0,2,"Cancer","dairy_tot",0.0167272697631614,0.0188688350775183,0.0196657498418207
0,3,"CMD","dairy_tot",0,0,0
0,3,"Cancer","dairy_tot",0.0175481107581002,0.0176569492151308,0.0163017570709182
0,4,"CMD","dairy_tot",0,0,0
0,4,"Cancer","dairy_tot",0.0207788123775,0.0192062722672171,0.022704137925011
1,1,"CMD","dairy_tot",0,0,0
1,1,"Cancer","dairy_tot",0.00840634398075887,0.00820560785467915,0.00724339344477854
1,2,"CMD","dairy_tot",0,0,0
1,2,"Cancer","dairy_tot",0.0135852283627939,0.0124961923605754,0.0138154585794128
1,3,"CMD","dairy_tot",0,0,0
1,3,"Cancer","dairy_tot",0.00849388314467542,0.00892961979633933,0.0100469153736302
1,4,"CMD","dairy_tot",0,0,0
1,4,"Cancer","dairy_tot",0.0105294647117555,0.00916922184754946,0.00923787044435506
0,1,"CMD","leg_tot",0.0130922952776746,0.0135870819428495,0.011667812898753
0,1,"Cancer","leg_tot",0.00297952524179214,0.00346384557017858,0.00281158505286027
0,2,"CMD","leg_tot",0.0133970633281468,0.0105405670004009,0.0120475235446908
0,2,"Cancer","leg_tot",0.00236759268572983,0.00236421508839822,0.00208601717009397
0,3,"CMD","leg_tot",0.00276007817367156,0.000892186573845887,0.00275003423378971
0,3,"Cancer","leg_tot",0.000766041582287834,0.00028173473666207,0.000650091205809841
0,4,"CMD","leg_tot",0.00505300164942621,0.00758485553989714,0.005379217903029
0,4,"Cancer","leg_tot",0.000977133932838141,0.00126725434227673,0.00141596086055638
1,1,"CMD","leg_tot",0.0131927725622273,0.0120613661869218,0.0115300531242226
1,1,"Cancer","leg_tot",0.00311174316040667,0.00242077465531555,0.00281647573741354
1,2,"CMD","leg_tot",0.0064510406011449,0.00994471542981498,0.0161511606671744
1,2,"Cancer","leg_tot",0.00186760018044323,0.00221952367880417,0.00245565843276145
1,3,"CMD","leg_tot",0.00536236253791637,0.010517394555878,0.00523371513310793
1,3,"Cancer","leg_tot",0.00111727288698627,0.00150163949377108,0.00144492989268868
1,4,"CMD","leg_tot",0.00654827886121652,0.00980073890753989,0.0139914113053569
1,4,"Cancer","leg_tot",0.00205378094753725,0.0018454350505993,0.00229439706047337
