"age","female","pathway","riskfactor","V1","V2","V3"
25,0,"direct","dairy_tot",101.800822484147,95.35294814901,71.5116768445965
25,0,"medBMI","dairy_tot",0,0,0
25,0,"medSBP","dairy_tot",0,0,0
35,0,"direct","dairy_tot",283.435464844662,278.824213438151,297.905761307706
35,0,"medBMI","dairy_tot",0,0,0
35,0,"medSBP","dairy_tot",0,0,0
45,0,"direct","dairy_tot",869.680385906844,742.098856536742,708.334120890473
45,0,"medBMI","dairy_tot",0,0,0
45,0,"medSBP","dairy_tot",0,0,0
55,0,"direct","dairy_tot",1613.33277456835,1724.76935068627,1910.23402559654
55,0,"medBMI","dairy_tot",0,0,0
55,0,"medSBP","dairy_tot",0,0,0
65,0,"direct","dairy_tot",1578.09220416167,1411.04201768981,1769.36601434469
65,0,"medBMI","dairy_tot",0,0,0
65,0,"medSBP","dairy_tot",0,0,0
75,0,"direct","dairy_tot",1431.86225613427,973.209581176539,1258.17593537165
75,0,"medBMI","dairy_tot",0,0,0
75,0,"medSBP","dairy_tot",0,0,0
25,1,"direct","dairy_tot",98.7034243728467,108.340000544885,103.509512250485
25,1,"medBMI","dairy_tot",0,0,0
25,1,"medSBP","dairy_tot",0,0,0
35,1,"direct","dairy_tot",259.554116522862,226.585915690363,264.76596943715
35,1,"medBMI","dairy_tot",0,0,0
35,1,"medSBP","dairy_tot",0,0,0
45,1,"direct","dairy_tot",680.543719399837,679.636951232973,537.772934199832
45,1,"medBMI","dairy_tot",0,0,0
45,1,"medSBP","dairy_tot",0,0,0
55,1,"direct","dairy_tot",1192.98438181559,1205.20512346737,1370.28282610686
55,1,"medBMI","dairy_tot",0,0,0
55,1,"medSBP","dairy_tot",0,0,0
65,1,"direct","dairy_tot",1219.85439007308,1353.6470417523,1259.84397460135
65,1,"medBMI","dairy_tot",0,0,0
65,1,"medSBP","dairy_tot",0,0,0
75,1,"direct","dairy_tot",2015.73122701649,1699.24843598647,1461.49022368125
75,1,"medBMI","dairy_tot",0,0,0
75,1,"medSBP","dairy_tot",0,0,0
25,0,"direct","leg_tot",25.0500415016909,21.5407383393035,26.3671999271461
25,0,"medBMI","leg_tot",46.0430241048417,38.2453127415018,34.9779888023496
25,0,"medSBP","leg_tot",0,0,0
35,0,"direct","leg_tot",74.9176286975867,94.8997712488008,60.7885348448266
35,0,"medBMI","leg_tot",115.386464072129,119.948360046685,86.0080879562732
35,0,"medSBP","leg_tot",0,0,0
45,0,"direct","leg_tot",280.543025485352,342.619016863467,206.149116066916
45,0,"medBMI","leg_tot",346.970859136961,329.993357099037,214.767432244434
45,0,"medSBP","leg_tot",0,0,0
55,0,"direct","leg_tot",429.926165803191,506.137032635813,594.707547860218
55,0,"medBMI","leg_tot",676.004358668099,499.563184601891,578.90360513925
55,0,"medSBP","leg_tot",0,0,0
65,0,"direct","leg_tot",825.060462826827,1198.90727143296,948.595941105066
65,0,"medBMI","leg_tot",968.068506409183,940.167189676467,787.020693467626
65,0,"medSBP","leg_tot",0,0,0
75,0,"direct","leg_tot",1066.75095991214,811.638237065881,876.014463201028
75,0,"medBMI","leg_tot",972.264963813621,1085.89930205148,883.487003607265
75,0,"medSBP","leg_tot",0,0,0
25,1,"direct","leg_tot",16.7565133550914,15.2646287115774,18.1199125493979
25,1,"medBMI","leg_tot",37.1691747565924,42.0159349043272,32.0837821401807
25,1,"medSBP","leg_tot",0,0,0
35,1,"direct","leg_tot",47.9290876811801,57.7092162885179,57.7024416888492
35,1,"medBMI","leg_tot",83.0418337446654,93.7682362736915,88.1202757760701
35,1,"medSBP","leg_tot",0,0,0
45,1,"direct","leg_tot",150.155082583,137.743789703172,179.785989360293
45,1,"medBMI","leg_tot",274.977515907074,282.223480092048,321.651491519394
45,1,"medSBP","leg_tot",0,0,0
55,1,"direct","leg_tot",344.612874712019,228.565328739355,337.803792915052
55,1,"medBMI","leg_tot",609.494501370328,525.622675004685,630.42513859704
55,1,"medSBP","leg_tot",0,0,0
65,1,"direct","leg_tot",602.6464058309,400.131037240936,395.827123513827
65,1,"medBMI","leg_tot",762.174925625594,606.892328574334,770.703987647822
65,1,"medSBP","leg_tot",0,0,0
75,1,"direct","leg_tot",1344.38135070961,1495.07355093359,1341.22731822572
75,1,"medBMI","leg_tot",1402.83249464829,1527.63962531383,1519.79998878543
75,1,"medSBP","leg_tot",0,0,0
