"outcome","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"MMC","leg_tot",35.5306854571798,2.7805930976329,35.233368160564,33.0268317591942,38.2872588572888,0.0013872795848656,0.000120279252757435,0.00138839560717076,0.00127254367433647,0.00150106687643533,0.138839560717076,0.127254367433647,0.150106687643533,0.0145095424382084,0.00113550113189109,0.014388128007911,0.0134870524124033,0.0156352347297664
"OC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OC","leg_tot",18.6233499415956,0.725111001663724,19.0200421989019,17.8481211057625,19.0613903587184,0.0009205450574652,4.28036637122691e-05,0.000937255275095026,0.000875174246959492,0.000951712182985556,0.0937255275095026,0.0875174246959492,0.0951712182985556,0.00760515264038016,0.000296111057686494,0.00776714847773125,0.00728857513707251,0.00778403368193939
"OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSTK","leg_tot",1498.87533154301,111.181610009288,1451.26754926809,1421.01694251762,1617.20033550209,0.0212647533076141,0.00159159533527077,0.020781317511619,0.0200114474297006,0.0229289796121235,2.0781317511619,2.00114474297006,2.29289796121235,0.61209050579159,0.0454028473704024,0.592649081332175,0.580295746270387,0.660410476103296
"OTH","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTH","leg_tot",188.145466397621,37.7245206842924,169.339907040855,163.811258720063,228.464399528429,0.00466814692460361,0.000967832383887641,0.00418502100598842,0.00404439071342229,0.00570256016660783,0.418502100598842,0.404439071342229,0.570256016660783,0.0768323097099483,0.0154054312993617,0.0691527488444513,0.0668950339592955,0.0932972121962735
"PC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC","leg_tot",89.4661368721043,9.07177004311639,85.7250931671416,83.0062412383006,99.1059196551264,0.00167744776841381,0.000176170274713528,0.00160762672319649,0.00154992690335489,0.00186431652190744,0.160762672319649,0.154992690335489,0.186431652190744,0.0365349751355852,0.00370460717930414,0.035007258129794,0.0338969700242559,0.0404715397018369
"PVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PVD","leg_tot",34.1940102426377,0.274170345830798,34.2082113728856,33.9277751133143,34.4481744112504,0.00453341493975342,9.13399593136951e-05,0.00448245797463112,0.00447909820144817,0.00463104509841261,0.448245797463112,0.447909820144817,0.463104509841261,0.0139636890300361,0.000111961990514493,0.0139694882962014,0.0138549675162867,0.0140674811675451
"RHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RHD","leg_tot",16.1846800195114,0.749321726074373,16.5003459937687,15.3877314874948,16.7133124734094,0.00452970270165092,0.000146099031377501,0.00460541791164561,0.00437349385265181,0.00462155362215454,0.460541791164561,0.437349385265181,0.462155362215454,0.00660928148641927,0.000305997907004935,0.00673818890238522,0.00628383438632607,0.00682515728294141
"SCC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCC","leg_tot",32.6427423868515,4.66243975596485,35.2197154251948,27.6585866843971,35.4364710067139,0.00408160728352978,0.000610262109883922,0.00440953072605591,0.00342909074081284,0.00445538890009952,0.440953072605591,0.342909074081284,0.445538890009952,0.0133302031713497,0.0019039843063622,0.0143825526878549,0.0112948408429039,0.014471068410766
"SCNC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCNC","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TC","leg_tot",51.6599312064094,6.68985634202922,49.5010454114139,46.4753371574826,58.6795781810822,0.00107539715254638,0.000131245666346981,0.00103695243849955,0.000971131315999816,0.00121234099603274,0.103695243849955,0.0971131315999816,0.121234099603274,0.0210961864244828,0.00273191336590373,0.020214569741363,0.0189789717856477,0.0239627752439697
"UC","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UC","leg_tot",474.101189506533,43.9811757208369,497.302053419971,427.073673379238,501.407971307405,0.00810523004908044,0.000732366133141862,0.00849775133941786,0.00732214808415969,0.00855466891721439,0.849775133941786,0.732214808415969,0.855466891721439,0.193607053751902,0.0179604397548945,0.203081509851569,0.174402590560927,0.20475822925816
