"race","disease_type3","X1","X2","X3"
1,"Other_CVD",88750.9742982228,88795.0355291922,88922.2115785138
2,"Other_CVD",12218.6668155314,12334.3765286711,12380.8840834534
3,"Other_CVD",5982.74963570084,5955.40086388259,5892.40254485681
4,"Other_CVD",3217.85169527309,3093.47640644503,3092.26867481191
1,"Cancer",741887.244184445,738907.961229581,738860.573605162
2,"Cancer",110010.98496694,110158.07731189,111135.268984772
3,"Cancer",87927.4118315071,87698.7777158017,87389.1030643623
4,"Cancer",72538.4763798076,74596.9755643097,73671.0239951637
1,"DIAB",48409.3097963247,48512.3988881843,48513.3758104259
2,"DIAB",13497.4500034696,13340.2038504713,13116.7864399538
3,"DIAB",7565.1778824986,7378.5586993646,7361.13165668022
4,"DIAB",3349.43693778793,3302.29517134998,3245.93045977712
1,"All_HD",322236.653535096,323017.956480463,321439.939628387
2,"All_HD",50173.4495393406,50625.4552595531,50974.9515697861
3,"All_HD",28663.234440896,28383.8669113063,28131.2776408403
4,"All_HD",13522.3778195201,13802.2096133395,13806.7007820304
1,"All_STK",110493.269389483,110528.995513989,111295.006857074
2,"All_STK",19128.0923112719,19637.7603816988,19718.7671047438
3,"All_STK",10938.7590978496,11228.7951797066,11348.330554783
4,"All_STK",6173.17434459245,6153.59057228571,6253.35596846058
