"age","race","disease_type3","X1","X2","X3"
25,1,"Other_CVD",876.805845976948,916.202711025734,973.715969273534
25,2,"Other_CVD",428.787399804201,439.740724462908,420.322397419735
25,3,"Other_CVD",223.685575791542,259.621907184055,231.096619807164
25,4,"Other_CVD",103.155390021101,110.27061284631,102.548255774301
35,1,"Other_CVD",1413.63567074403,1425.95785660214,1316.8548487629
35,2,"Other_CVD",775.519463522164,771.429267517003,762.719299485993
35,3,"Other_CVD",353.63733117008,358.382594268856,331.243989866294
35,4,"Other_CVD",164.943265646958,162.527340017873,161.376479844766
45,1,"Other_CVD",2970.29435923195,2973.14055691827,3048.14374792047
45,2,"Other_CVD",1285.02153843021,1420.73407055504,1378.19238507063
45,3,"Other_CVD",510.897517869766,445.011827049838,494.338340846041
45,4,"Other_CVD",200.713014594755,231.487440399488,239.952902784588
55,1,"Other_CVD",7612.51573098805,7397.73527674835,7554.64307913711
55,2,"Other_CVD",2311.08163869884,2327.69118128145,2416.056784404
55,3,"Other_CVD",800.145327671226,841.589545379642,777.76099948224
55,4,"Other_CVD",404.944292049748,384.876776150344,343.24242757714
65,1,"Other_CVD",13359.8999142871,13443.3504372158,13462.7798112337
65,2,"Other_CVD",2694.70417403049,2743.70787509936,2681.29849289611
65,3,"Other_CVD",966.623506813112,997.634187168552,976.385563689099
65,4,"Other_CVD",537.869612821013,517.246766380181,522.973732582444
75,1,"Other_CVD",62517.8227769947,62638.6486906819,62566.0741221861
75,2,"Other_CVD",4723.55260104553,4631.07340975538,4722.2947241769
75,3,"Other_CVD",3127.76037638511,3053.16080283164,3081.57703116597
75,4,"Other_CVD",1806.22612013952,1687.06747065083,1722.17487624868
25,1,"Cancer",9061.3331613054,9246.20396524495,8594.20951931955
25,2,"Cancer",1258.43318087533,1329.54601205485,1346.31514416654
25,3,"Cancer",3165.19003343832,3209.54979839984,3181.44446263654
25,4,"Cancer",1764.87363217577,1995.42843303829,1890.54566543557
35,1,"Cancer",15984.558522871,15182.7653586062,15690.5952521642
35,2,"Cancer",3736.18091141909,3779.57185706335,3628.3520606449
35,3,"Cancer",6150.78867166975,5968.73152590015,6159.59391629875
35,4,"Cancer",4157.3712923013,4128.23220744044,4092.03759410274
45,1,"Cancer",62566.3253271536,62375.4846179247,60904.5766883687
45,2,"Cancer",11567.7653633517,11424.8855668054,11902.0751192835
45,3,"Cancer",12661.7571541054,12418.8336003874,12523.3777629004
45,4,"Cancer",10290.0019094665,11454.6892578158,10711.853375263
55,1,"Cancer",206497.040037332,204578.216010043,205264.256887129
55,2,"Cancer",37807.6057169101,36776.0906545433,37591.0965174663
55,3,"Cancer",28324.0876012431,28628.744099262,28298.4446219357
55,4,"Cancer",25942.2434207158,26781.0166970147,25825.8763288423
65,1,"Cancer",234566.228300467,233902.279658664,236044.178339063
65,2,"Cancer",30478.445990219,30875.5651770416,30823.6729573875
65,3,"Cancer",24009.002236785,24244.3037092757,23920.315673544
65,4,"Cancer",17120.472753507,17328.3645528065,18022.8707961116
75,1,"Cancer",213211.758835315,213623.011619097,212362.756919118
75,2,"Cancer",25162.5538041647,25972.4180443817,25843.7571858235
75,3,"Cancer",13616.5861342656,13228.6149825766,13305.9266270468
75,4,"Cancer",13263.5133716411,12909.244416194,13127.8402354085
25,1,"DIAB",447.729743887508,420.675142844635,400.598281355821
25,2,"DIAB",267.64687603108,260.936510232369,256.873623812829
25,3,"DIAB",104.795637581824,101.964713176094,92.9983577603184
25,4,"DIAB",40.5200399485973,29.0924722358012,15.0930630312613
35,1,"DIAB",1053.49706287247,1015.27062092118,1044.96766512808
35,2,"DIAB",592.108892085973,627.579010620886,600.892189891186
35,3,"DIAB",279.783384356676,288.105820698121,275.867956318696
35,4,"DIAB",123.799743287005,111.804948917112,120.626550328449
45,1,"DIAB",3147.36479771534,3214.46240471483,3152.43689487178
45,2,"DIAB",1424.5983646723,1387.53019332098,1388.73916542584
45,3,"DIAB",797.888842219657,785.524288487999,838.072919486884
45,4,"DIAB",248.434203030555,288.980632485418,294.406311208204
55,1,"DIAB",8204.76652568512,8198.86881568629,8211.25480242118
55,2,"DIAB",3040.55949145471,2884.96623515721,2870.21914333908
55,3,"DIAB",1453.48350961591,1474.05858354238,1401.40531260768
55,4,"DIAB",570.367253009106,560.988460149528,507.265972269955
65,1,"DIAB",12487.2058912323,12598.5319471364,12677.7628018109
65,2,"DIAB",3537.5015427885,3596.19896780112,3453.9047862413
65,3,"DIAB",1740.69137867882,1731.71308763416,1746.80123245454
65,4,"DIAB",796.185298738986,777.967787170482,762.719031226446
75,1,"DIAB",23068.745774932,23064.589956881,23026.3553648381
75,2,"DIAB",4635.03483643699,4582.99293333874,4546.15753124362
75,3,"DIAB",3188.53513004571,2997.19220582584,3005.98587805211
75,4,"DIAB",1570.13039977368,1533.46087039164,1545.81953171281
25,1,"All_HD",770.321849350619,805.817831492154,756.757581948699
25,2,"All_HD",509.897987470347,518.447862922742,465.13329352946
25,3,"All_HD",231.156150423703,210.109449722326,210.37271660552
25,4,"All_HD",86.4128523215632,97.8939113259327,97.9496085450625
35,1,"All_HD",3419.9827313529,3507.11634638675,3501.06122859998
35,2,"All_HD",1663.81420948171,1723.64754676446,1677.48381854139
35,3,"All_HD",657.660438051175,691.297609927635,685.74896507173
35,4,"All_HD",336.791316706696,291.163339637561,331.680435543958
45,1,"All_HD",14719.0518282542,14634.0061469417,14675.1179802296
45,2,"All_HD",4813.78645291237,4815.75234827495,4865.36129553165
45,3,"All_HD",2187.09657765009,2073.18035316679,2136.94948265526
