"female","pathway","disease_type2","riskfactor","V1","V2","V3"
1,"direct","DIAB","leg_tot",0,0,0
1,"medBMI","DIAB","leg_tot",353.185058934196,349.105118451194,431.442869107427
1,"medSBP","DIAB","leg_tot",0,0,0
0,"direct","HHD","leg_tot",0,0,0
0,"medBMI","HHD","leg_tot",300.295302869295,248.034098306359,237.341164836903
0,"medSBP","HHD","leg_tot",0,0,0
1,"direct","HHD","leg_tot",0,0,0
1,"medBMI","HHD","leg_tot",274.223950100988,232.302303337643,176.876758480968
1,"medSBP","HHD","leg_tot",0,0,0
0,"direct","HSTK","leg_tot",262.919957426095,233.895642272885,234.429470035709
0,"medBMI","HSTK","leg_tot",82.7230714320555,79.8922821108884,60.6473548887099
0,"medSBP","HSTK","leg_tot",0,0,0
1,"direct","HSTK","leg_tot",399.897275192778,404.88855965964,420.022017446923
1,"medBMI","HSTK","leg_tot",74.0607528703877,96.9487454670024,95.756913501017
1,"medSBP","HSTK","leg_tot",0,0,0
0,"direct","IHD","leg_tot",1157.77683217955,1248.12976579894,1193.94512011292
0,"medBMI","IHD","leg_tot",1214.8877344868,1089.25417594219,916.90729684502
0,"medSBP","IHD","leg_tot",0,0,0
1,"direct","IHD","leg_tot",838.031945608833,515.613578403018,657.500393575438
1,"medBMI","IHD","leg_tot",579.753245376976,686.357689817818,879.838963390442
1,"medSBP","IHD","leg_tot",0,0,0
0,"direct","ISTK","leg_tot",296.812308698424,235.856600817273,241.119202804824
0,"medBMI","ISTK","leg_tot",83.2207201778955,59.1866336213737,79.7691401727306
0,"medSBP","ISTK","leg_tot",0,0,0
1,"direct","ISTK","leg_tot",294.679786955443,500.352315402978,387.227190155405
1,"medBMI","ISTK","leg_tot",135.33213496165,89.3704702787822,86.6527534130517
1,"medSBP","ISTK","leg_tot",0,0,0
0,"direct","OSTK","leg_tot",470.396473123263,622.461108227942,551.350860063572
0,"medBMI","OSTK","leg_tot",122.954599237044,129.862459637839,113.263825418082
0,"medSBP","OSTK","leg_tot",0,0,0
1,"direct","OSTK","leg_tot",694.654207859579,709.471529167582,577.548584516077
1,"medBMI","OSTK","leg_tot",163.262269048203,164.138543007364,177.261535322492
1,"medSBP","OSTK","leg_tot",0,0,0
