"age","female","pathway","disease_type","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"direct","CMD","leg_tot",18.5209476360213,0.802988837082523,18.1204299552946,18.0031680591958,19.3791672414644,0.00631609235768736,0.000304172878187263,0.00618029451179273,0.00610731434170406,0.00664029854268111,0.618029451179273,0.610731434170406,0.664029854268111,0.0542286129605061,0.00235112002439145,0.0530559127985705,0.0527125745362133,0.0567414465224443
25,0,"direct","Cancer","dairy_tot",89.555149159251,15.9552167248742,95.35294814901,72.7037404098171,101.47842876739,0.0203241262509357,0.00306058412992428,0.0216531263408914,0.0170651684962198,0.0224534339291893,2.16531263408914,1.70651684962198,2.24534339291893,0.262213986984777,0.0467162528331661,0.279189716500202,0.212873718826195,0.297124885055247
25,0,"direct","Cancer","leg_tot",5.79837895335889,1.95257683661942,6.92178335483064,3.71264402864879,6.929220136818,0.00132147039550092,0.00045014017152282,0.00153127898683207,0.000841054603818801,0.00162354888455156,0.153127898683207,0.0841054603818801,0.162354888455156,0.016977427626246,0.00571706889029522,0.0202667119373283,0.0108704770428788,0.0202884865451934
25,0,"medBMI","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"medBMI","CMD","leg_tot",34.3070559185193,5.56495934902835,32.9459758060187,29.7187577776015,40.0522721550626,0.0116962061484042,0.0018856149950896,0.0111732468445638,0.0101795670042865,0.0136573607007862,1.11732468445638,1.01795670042865,1.36573607007862,0.100449722864153,0.0162939841205791,0.0964645333328416,0.0870153647027315,0.117271492127189
25,0,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"medBMI","Cancer","leg_tot",5.44838596437839,0.159577580895139,5.42908460519106,5.30582431896848,5.60735376509753,0.00124059838644194,3.69239206688621e-05,0.00124116486090367,0.00120528300634529,0.00127543226324613,0.124116486090367,0.120528300634529,0.127543226324613,0.0159526617929147,0.000467236938497999,0.0158961481653427,0.0155352468504464,0.016418113318819
25,0,"medSBP","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"medSBP","CMD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"direct","CMD","leg_tot",11.6351598123921,1.10720472173172,11.806335208226,10.5200362016212,12.6047843367042,0.00701853309751233,0.00092403582858165,0.0070518258868518,0.00612697706195088,0.00788179026213522,0.70518258868518,0.612697706195088,0.788179026213522,0.0350271567743791,0.00333319301107704,0.0355424730676203,0.0316701242825963,0.0379461704169068
25,1,"direct","Cancer","dairy_tot",103.517645722739,4.81829323463239,103.509512250485,98.9437287667286,108.098476130165,0.0094481412965192,0.000217110518498162,0.00952266198679237,0.00921953801108906,0.00961340199521714,0.952266198679237,0.921953801108906,0.961340199521714,0.311635496556154,0.0145052681042377,0.311611011081751,0.297865912908447,0.325425892857103
25,1,"direct","Cancer","leg_tot",5.07852505963015,0.3486012921664,4.95017814686543,4.81918674213196,5.44695825297835,0.000464374993389448,4.28600341768139e-05,0.000461578524366456,0.000424911513575262,0.000506215471873175,0.0461578524366456,0.0424911513575262,0.0506215471873175,0.0152886850128882,0.00104944945401255,0.0149023020574836,0.0145079579707948,0.0163978375670755
25,1,"medBMI","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medBMI","CMD","leg_tot",20.4221810614729,2.13599791623026,19.9049687253201,18.6579159828806,22.626076625795,0.0122604555891886,0.00085738992725596,0.0118890723716186,0.0116632535812895,0.013173333332022,1.18890723716186,1.16632535812895,1.3173333332022,0.0614801128002642,0.00643033143402631,0.0599230669258474,0.0561688673600771,0.0681148472337055
25,1,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medBMI","Cancer","leg_tot",16.6674495388939,2.92361117975879,17.2642060312722,13.6801357881207,19.1475202711454,0.00151838077892181,0.000232901235106151,0.00160979797248694,0.00127144776624724,0.00168760917706601,0.160979797248694,0.127144776624724,0.168760917706601,0.0501766522713417,0.00880140786993494,0.0519731624655896,0.0411834705041995,0.0576428003733733
25,1,"medSBP","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","CMD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
