"female","race","outcome","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,1,"AA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"AA","leg_tot",23.9726637444176,2.90372181796085,24.4268963295945,21.0465101399617,26.5127196514731,0.00534276251040211,0.000708895577230472,0.00547342280674994,0.00462241590141186,0.00595204786749672,0.547342280674994,0.462241590141186,0.595204786749672,0.0326787888244875,0.00395826317450001,0.033297984542012,0.028689947337054,0.0361413139520254
0,1,"AFF","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"AFF","leg_tot",50.799881407643,1.34783284502474,50.0471760493064,49.9990511781546,52.2405111917175,0.00547908525257249,0.000153623751442673,0.00541102068077329,0.00537324098130745,0.00564278440986685,0.541102068077329,0.537324098130745,0.564278440986685,0.0692488166741983,0.00183732376939248,0.0682227521652899,0.0681571498393097,0.0712126383416591
0,1,"APCA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"APCA","leg_tot",20.0089378069942,4.59133002813375,18.8668798022884,16.2349538947208,24.7536710232676,0.000557187025778265,0.000132993722718602,0.000519087591384308,0.000450985305830545,0.000695773264960848,0.0519087591384308,0.0450985305830545,0.0695773264960848,0.0272755610376979,0.0062587581427137,0.0257187431238026,0.0221309836719509,0.033743433630256
0,1,"BC","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"BC","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
0,1,"CC","dairy_tot",3676.54747747527,413.652464557742,3897.31466102369,3234.24522532903,3931.19762360535,0.0702559991838591,0.00645746750843791,0.0735367138001741,0.063352795425605,0.0743705955182454,7.35367138001741,6.3352795425605,7.43705955182454,5.0117550515259,0.563878160563573,5.31269800252507,4.40882239253643,5.35888620216609
0,1,"CC","leg_tot",39.0357709252795,11.221026743339,40.7186088044867,27.7508815759103,48.8902480773227,0.000749843698070725,0.000229506453542528,0.00077042180290289,0.000523725177195611,0.000958470829838498,0.077042180290289,0.0523725177195611,0.0958470829838498,0.0532123475417008,0.0152961542884399,0.0555063397432669,0.0378291377370907,0.0666456639749798
0,1,"CM","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"CM","leg_tot",45.0304276946912,5.17039089026116,46.3466593684066,39.6800150071238,49.2620434596007,0.00493764613423959,0.000517289382825351,0.00503166705783115,0.00441238845187979,0.00538298603154655,0.503166705783115,0.441238845187979,0.538298603154654,0.06138407700537,0.00704811588083299,0.0631783230419399,0.0540905610154504,0.0671524838642052
0,1,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"DIAB","leg_tot",398.943801478468,79.7948980708022,376.532401455957,334.940103292467,481.997189683602,0.0141527568412333,0.00272887122463947,0.0133964366506043,0.0119575493248556,0.0169908365196456,1.33964366506043,1.19575493248555,1.69908365196456,0.543827769009983,0.108773920625924,0.513277246281057,0.456579920406025,0.657043561933529
0,1,"ECA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,"ECA","leg_tot",59.7580209188672,11.8269791894508,57.7341536206705,49.5065993574703,71.7297296837313,0.00721332252056927,0.00136840737145394,0.00687415940361689,0.00608778019891605,0.00862715349163201,0.687415940361689,0.608778019891605,0.862715349163201,0.0814602735430982,0.0161221697965739,0.0787014006555594,0.0674858548499023,0.097779734190702
0,1,"ENDO","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
