"pathway","disease_type","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"direct","CMD","leg_tot",4382.99357516836,107.439380348534,4415.16878704396,4270.74413612752,4467.89408411494,0.00588083037053433,0.000143736189342934,0.00593181032966836,0.00572921557262263,0.0059891122031821,0.593181032966836,0.572921557262263,0.59891122031821,1.78986784147305,0.0438746460599696,1.80300712083567,1.74402892847513,1.82453836701274
"direct","Cancer","dairy_tot",10952.242859428,427.08180766493,11013.1929746326,10523.722063265,11328.9560576672,0.0108265993500362,0.000417444028771498,0.0108927629184079,0.0104056616640925,0.011191298002864,1.08927629184079,1.04056616640925,1.1191298002864,4.47252932268788,0.174405912330883,4.49741930923879,4.29753577562906,4.62636638117841
"direct","Cancer","leg_tot",804.355958018404,31.2387250525906,793.560812054616,780.627256022831,837.260534083196,0.000795138501486745,3.09353709853006e-05,0.000783868964184462,0.000772040330738379,0.000827815778942051,0.0783868964184462,0.0772040330738379,0.0827815778942051,0.328472044885232,0.0127568494959755,0.324063668675407,0.318782037383877,0.341909172164939
"medBMI","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medBMI","CMD","leg_tot",4301.44742186533,131.540534920837,4364.35019667494,4160.96996439448,4388.457520748,0.00577146499819978,0.000178570833993365,0.00584962671808134,0.00558126440292962,0.00589522813157061,0.584962671808134,0.558126440292962,0.589522813157061,1.75656712248048,0.0537167507246289,1.78225450984262,1.69920083177828,1.79209913392485
"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medBMI","Cancer","leg_tot",1810.00493957484,89.1774391137703,1797.68373404025,1731.1315369218,1899.35136693227,0.00178922874321867,8.71515065298378e-05,0.00177802593328589,0.00171171062512796,0.00187626924975224,0.177802593328589,0.171171062512796,0.187626924975224,0.739145421660337,0.0364170806361557,0.734113853811486,0.706936164554411,0.775631511437787
"medSBP","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","CMD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
