"female","outcome","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"CC","direct","dairy_tot",5706.34280337738,422.218268927165,5878.20390809994,5257.9423146977,6008.66135304288,0.076156182582322,0.00458760984880203,0.0782163365979848,0.0712654774208394,0.0792957568304912,7.82163365979848,7.12654774208394,7.92957568304912,4.84133823770974,0.35821567691427,4.98714751810838,4.46090921224569,5.09782937483496
0,"CC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"CC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"CC","medBMI","leg_tot",52.229746601927,10.1842224379722,58.0625911530742,41.3497668027628,58.1518085326162,0.000698514150167142,0.000142839074476581,0.000772590274917495,0.000545790256532276,0.000788273337764208,0.0772590274917495,0.0545790256532276,0.0788273337764208,0.0443124218229827,0.00864043174572589,0.0492610858505578,0.0350817001432358,0.0493367790792908
0,"CC","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"CC","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"CM","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"CM","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"CM","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"CM","medBMI","leg_tot",61.5323602634068,8.50728826972424,62.5800468403148,53.0512659878503,69.1229209485916,0.00477139899093045,0.000629488702428964,0.00478800835830892,0.00416648188811113,0.00536219813147806,0.478800835830892,0.416648188811113,0.536219813147806,0.0522048847860047,0.00721769816826614,0.0530937562156913,0.0450094099558611,0.0586448189009148
0,"CM","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"CM","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"DIAB","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"DIAB","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"DIAB","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"DIAB","medBMI","leg_tot",500.938125557656,79.4966175143601,502.885407804846,424.605738640345,575.615322564855,0.0122551538212601,0.00189172080625602,0.0122843667819697,0.0104457642664521,0.014039712359465,1.22843667819697,1.04457642664521,1.4039712359465,0.425002665552012,0.0674460030534912,0.426654766087815,0.360241238436258,0.488359807212333
0,"DIAB","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"DIAB","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ECA","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ECA","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ECA","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ECA","medBMI","leg_tot",62.4400955561944,11.5525819841371,60.4139616982207,52.4535819180455,74.1488229736209,0.00675450164928377,0.00118370756204879,0.00645247324762915,0.00578613913166866,0.00797958830830531,0.645247324762915,0.578613913166866,0.797958830830531,0.0529750196576935,0.00980136644979983,0.0512560203512514,0.0445023267256873,0.0629088620001755
0,"ECA","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ECA","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ENDO","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ENDO","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ENDO","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ENDO","medBMI","leg_tot",6.23652464300138,0.828039357325227,6.46573234054561,5.37541119257133,6.90281155051883,0.00613194369554076,0.000616609231671294,0.00628789912624812,0.00549410883555456,0.00663721643942569,0.628789912624812,0.549410883555456,0.663721643942569,0.00529115166490023,0.000702519764598536,0.00548561456850314,0.00456057139339854,0.00585643846833946
0,"ENDO","medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"ENDO","medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"GC","direct","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"GC","direct","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"GC","medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
