"age","X1","X2","X3"
25,19856.0225573449,20448.9913899158,19525.988059573
35,42563.0203411537,41753.0161809791,42113.2342407238
45,135382.481274454,136005.1433072,134601.246723329
55,393646.250551328,391711.142740206,391840.555691216
65,447893.726858414,448318.544258971,450603.665195835
75,717343.243322862,719215.329794213,717864.601093363
