"female","pathway","disease_type","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"direct","CMD","leg_tot",2249.69778052047,80.2102148047407,2220.84465301703,2189.55252550682,2334.36819391204,0.00569173202090039,0.000181615909143907,0.00561754127431013,0.00556188568950259,0.0058846404868999,0.561754127431013,0.556188568950259,0.58846404868999,1.90867395517812,0.0680514286241739,1.88419457245031,1.85764590920407,1.98050947647079
0,"direct","Cancer","dairy_tot",5706.34280337738,422.218268927165,5878.20390809994,5257.9423146977,6008.66135304288,0.0137888617055981,0.000999189209036166,0.014192250264281,0.0127280991075348,0.014506744028781,1.4192250264281,1.27280991075348,1.4506744028781,4.84133823770974,0.35821567691427,4.98714751810838,4.46090921224569,5.09782937483496
0,"direct","Cancer","leg_tot",547.173271085605,77.2341747592145,514.342712799454,492.906378128738,629.346138585699,0.00132249846758342,0.000188929998674145,0.00124182158628427,0.0011900267047632,0.00152354557950792,0.124182158628427,0.11900267047632,0.152354557950792,0.464229186930652,0.0655265160898561,0.436375298253998,0.418188422650196,0.533945756586265
0,"medBMI","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"medBMI","CMD","leg_tot",2356.34872298194,263.902956798674,2442.4266649366,2079.26786447333,2560.26333082908,0.00596262104010676,0.000675927476071684,0.0061559939690616,0.0052583266991156,0.00650254839148631,0.61559939690616,0.52583266991156,0.650254839148631,1.9991580539464,0.223898829743964,2.07218774146567,1.76407891456466,2.17216195893677
0,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"medBMI","Cancer","leg_tot",551.557841564431,23.9078032030013,558.272915591945,526.673685209433,570.734184996043,0.00133294002218227,5.9361630838823e-05,0.0013478860307879,0.00127155134510997,0.00138162459193977,0.13478860307879,0.127155134510997,0.138162459193977,0.467949115691769,0.020283702857428,0.473646275112198,0.446837061644946,0.484218584231228
0,"medSBP","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"medSBP","CMD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","CMD","leg_tot",2133.2957946479,92.5182706882075,2130.32598263322,2046.69957554081,2222.41635396746,0.00609368332152374,0.000258834621197237,0.00609824071117346,0.00584588212920019,0.00633761073264502,0.609824071117346,0.584588212920019,0.633761073264502,1.67961497653884,0.0728427222522304,1.67727674442407,1.6114348831412,1.74978256723405
1,"direct","Cancer","dairy_tot",5245.90005605066,235.993854314396,5272.66346867436,5011.4153416968,5457.63586967439,0.0087752085874302,0.000384700459053209,0.00881231847928439,0.00839524897778647,0.00912362478899786,0.881231847928439,0.839524897778647,0.912362478899786,4.13027219276121,0.185805837648973,4.151343920732,3.94565455136976,4.29697886537749
1,"direct","Cancer","leg_tot",257.182686932799,46.1351942552324,279.218099255162,207.914395497497,287.720877894093,0.000430269489996344,7.75347425046199e-05,0.000466779355518085,0.000347497704421144,0.000482007889878064,0.0466779355518085,0.0347497704421144,0.0482007889878064,0.202488512733475,0.0363237781703905,0.219837728272973,0.163697942588057,0.22653224967032
1,"medBMI","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medBMI","CMD","leg_tot",1945.0986988834,134.926292796964,1921.92353173835,1828.19418991892,2081.70209992116,0.00555638963802722,0.000388303527659082,0.00550167083373878,0.0052135140712257,0.00594577618847393,0.550167083373878,0.52135140712257,0.594577618847393,1.53144112208311,0.106231973399662,1.51319453953311,1.43939830056054,1.6389935387732
1,"medBMI","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medBMI","Cancer","leg_tot",1258.4470980104,95.8900661643956,1272.67316621937,1162.06046931431,1342.74156872888,0.00210520453536294,0.000160933205530813,0.00213228991472977,0.00194243939566697,0.0022449471025971,0.213228991472977,0.194243939566697,0.22449471025971,0.9908174001482,0.0754974493621978,1.00201805843525,0.914928990532333,1.05718525022008
1,"medSBP","CMD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medSBP","CMD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medSBP","Cancer","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medSBP","Cancer","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
