"age","race","disease_type1","riskfactor","V1","V2","V3"
25,1,"CMD","dairy_tot",0,0,0
25,2,"CMD","dairy_tot",0,0,0
25,3,"CMD","dairy_tot",0,0,0
25,4,"CMD","dairy_tot",0,0,0
35,1,"CMD","dairy_tot",0,0,0
35,2,"CMD","dairy_tot",0,0,0
35,3,"CMD","dairy_tot",0,0,0
35,4,"CMD","dairy_tot",0,0,0
45,1,"CMD","dairy_tot",0,0,0
45,2,"CMD","dairy_tot",0,0,0
45,3,"CMD","dairy_tot",0,0,0
45,4,"CMD","dairy_tot",0,0,0
55,1,"CMD","dairy_tot",0,0,0
55,2,"CMD","dairy_tot",0,0,0
55,3,"CMD","dairy_tot",0,0,0
55,4,"CMD","dairy_tot",0,0,0
65,1,"CMD","dairy_tot",0,0,0
65,2,"CMD","dairy_tot",0,0,0
65,3,"CMD","dairy_tot",0,0,0
65,4,"CMD","dairy_tot",0,0,0
75,1,"CMD","dairy_tot",0,0,0
75,2,"CMD","dairy_tot",0,0,0
75,3,"CMD","dairy_tot",0,0,0
75,4,"CMD","dairy_tot",0,0,0
25,1,"Cancer","dairy_tot",118.871694545708,121.738394361547,95.5865270034201
25,2,"Cancer","dairy_tot",18.5827991552442,21.6122868162402,21.7143849783125
25,3,"Cancer","dairy_tot",43.3263385250252,39.9660316974364,38.4282481197123
25,4,"Cancer","dairy_tot",19.7234146310159,20.3762358186722,19.2920289936367
35,1,"Cancer","dairy_tot",305.639138622548,250.181295356467,301.869850425366
35,2,"Cancer","dairy_tot",87.6318464971621,118.820180677202,106.256558695283
35,3,"Cancer","dairy_tot",84.9961470638435,86.0080466094202,101.365287468511
35,4,"Cancer","dairy_tot",64.7224491839698,50.4006064854252,53.1800341556953
45,1,"Cancer","dairy_tot",836.19994825053,766.401838566511,575.475320869294
45,2,"Cancer","dairy_tot",246.28381729493,230.403955854933,256.115466361198
45,3,"Cancer","dairy_tot",210.497775766981,234.290479492193,155.375254039462
45,4,"Cancer","dairy_tot",257.24256399424,190.639533856077,259.141013820352
55,1,"Cancer","dairy_tot",1664.82747060086,1842.94568211737,1921.87117921951
55,2,"Cancer","dairy_tot",453.969238914188,483.442637059957,628.165731980129
55,3,"Cancer","dairy_tot",336.582059743875,279.014981361789,361.843080711314
55,4,"Cancer","dairy_tot",350.938387125017,324.571173614527,368.636859792448
65,1,"Cancer","dairy_tot",2097.47277622012,1866.67555493393,2158.56028002283
65,2,"Cancer","dairy_tot",309.801589048292,435.973554438793,395.926917516029
65,3,"Cancer","dairy_tot",214.873720453834,265.103437572867,257.530109249606
65,4,"Cancer","dairy_tot",175.798508512504,196.936512496521,217.192682157573
75,1,"Cancer","dairy_tot",2567.21777386538,1919.75172664986,1983.36720649417
75,2,"Cancer","dairy_tot",515.243564079917,369.942153321379,387.609752404613
75,3,"Cancer","dairy_tot",161.607637770323,173.686647877104,174.226762334244
75,4,"Cancer","dairy_tot",203.524507435138,209.07748931466,174.462437819872
25,1,"CMD","leg_tot",44.0953387912667,46.1036370955979,40.7530579948321
25,2,"CMD","leg_tot",37.8580505298873,26.1528230416168,26.4692902996388
25,3,"CMD","leg_tot",5.40621037346734,7.6824282315756,7.33166820040439
25,4,"CMD","leg_tot",2.89842194660006,4.22571290267052,5.67939387765917
35,1,"CMD","leg_tot",126.210529933537,171.648808153442,128.618744988781
35,2,"CMD","leg_tot",108.686031897587,90.1195877134565,68.8485029204413
35,3,"CMD","leg_tot",14.0929380255369,3.34685008882836,6.48028103178729
35,4,"CMD","leg_tot",4.10528432999205,10.9530968761855,5.29390957252722
45,1,"CMD","leg_tot",450.076701540362,526.018484949475,445.304717086055
45,2,"CMD","leg_tot",215.863666798473,169.842408884974,133.056068744864
45,3,"CMD","leg_tot",28.4928438061848,7.30056669835204,26.0340012399024
45,4,"CMD","leg_tot",31.1984163171037,43.1518685988111,38.2720347044815
55,1,"CMD","leg_tot",975.799203107646,773.932811847612,933.782916296121
55,2,"CMD","leg_tot",267.301504207286,257.422319553995,310.878023067334
55,3,"CMD","leg_tot",61.3189463900349,53.1701239640902,76.7059352120275
55,4,"CMD","leg_tot",24.2094522712055,18.2323717763828,38.0598672783512
65,1,"CMD","leg_tot",1894.53856264746,2079.72702627609,1674.59960996795
65,2,"CMD","leg_tot",257.413384643776,259.713969965885,290.335132004942
65,3,"CMD","leg_tot",29.9472136258119,15.7684885767205,32.539040844299
65,4,"CMD","leg_tot",34.0985620711382,25.9053791308457,29.2098534739453
75,1,"CMD","leg_tot",3997.47147886933,3750.61002793392,3392.59880119181
75,2,"CMD","leg_tot",69.2481579836868,180.628214507459,518.40457017694
75,3,"CMD","leg_tot",70.3168775098202,189.26516707396,54.1880431713835
75,4,"CMD","leg_tot",54.2473367049349,124.097122583254,129.965117007277
25,1,"Cancer","leg_tot",22.3620369050816,20.3994627162608,17.0226649280455
25,2,"Cancer","leg_tot",5.03923091945688,3.57373503279959,3.25749676425794
25,3,"Cancer","leg_tot",4.00229612873711,4.27627013021091,4.26397089550087
25,4,"Cancer","leg_tot",3.35716812371933,4.65254554597788,6.77134045873539
35,1,"Cancer","leg_tot",37.5956489615818,56.7547127862136,54.9215610874708
35,2,"Cancer","leg_tot",16.0124854878104,15.8564446243584,15.6812826214162
35,3,"Cancer","leg_tot",5.75754137111705,3.70261586787277,3.11363140050006
35,4,"Cancer","leg_tot",8.8145541883986,13.9434677473388,9.66142664309475
45,1,"Cancer","leg_tot",246.686415888873,258.781317288944,194.649783799059
45,2,"Cancer","leg_tot",40.7692717203974,41.4449759366161,32.223052086198
