"female","race","disease_type3","X1","X2","X3"
1,1,"Other_CVD",47497.26634019,47414.6630194102,47478.9856863683
1,2,"Other_CVD",6127.65177800848,6039.98104267771,6138.3406035748
1,3,"Other_CVD",3026.42111556119,2835.08004130077,2895.95333410523
1,4,"Other_CVD",1580.71958298275,1520.59251467702,1594.00442057201
0,1,"Other_CVD",41253.7079580329,41380.372509782,41443.2258921455
0,2,"Other_CVD",6091.01503752296,6294.39548599343,6242.54347987858
0,3,"Other_CVD",2956.32852013965,3120.32082258182,2996.44921075157
0,4,"Other_CVD",1637.13211229034,1572.88389176801,1498.2642542399
1,1,"Cancer",435058.079118665,434866.949676885,433417.807129334
1,2,"Cancer",66412.4181937774,65649.3457531789,66623.9626438692
1,3,"Cancer",54237.236254186,53902.3127433739,53690.7571974884
1,4,"Cancer",42472.3186450944,43910.1382363869,43124.9441582551
0,1,"Cancer",306829.16506578,304041.011552696,305442.766475829
0,2,"Cancer",43598.5667731626,44508.7315587113,44511.3063409029
0,3,"Cancer",33690.1755773211,33796.4649724278,33698.3458668738
0,4,"Cancer",30066.1577347132,30686.8373279228,30546.0798369085
1,1,"DIAB",20302.4026182154,20133.6137151979,20508.3160289421
1,2,"DIAB",6648.79879154312,6519.0389842916,6347.524589064
1,3,"DIAB",3385.00718663347,3323.8634970226,3193.3389570509
1,4,"DIAB",1548.14283557019,1555.0188940263,1557.45920516263
0,1,"DIAB",28106.9071781093,28378.7851729864,28005.0597814838
0,2,"DIAB",6848.65121192644,6821.1648661797,6769.26185088984
0,3,"DIAB",4180.17069586513,4054.69520234199,4167.79269962933
0,4,"DIAB",1801.29410221774,1747.27627732367,1688.4712546145
1,1,"All_HD",136068.084024023,135132.564216082,134950.944114161
1,2,"All_HD",22398.3080362581,22499.997606064,22727.0759048829
1,3,"All_HD",11807.2747896187,11589.9710594722,11414.610222055
1,4,"All_HD",5511.34998426568,5577.00270166981,5540.83068739831
0,1,"All_HD",186168.569511073,187885.392264381,186488.995514227
0,2,"All_HD",27775.1415030825,28125.4576534891,28247.8756649032
0,3,"All_HD",16855.9596512773,16793.8958518341,16716.6674187853
0,4,"All_HD",8011.02783525437,8225.20691166964,8265.87009463209
1,1,"All_STK",65058.1924229434,64868.6863911415,65538.2541442363
1,2,"All_STK",10403.3811255294,10857.5235107161,10873.8729678101
1,3,"All_STK",5943.56508807573,6073.4651462199,5953.62895482025
1,4,"All_STK",3431.9944307395,3393.4561761559,3439.13381065235
0,1,"All_STK",45435.0769665394,45660.3091228475,45756.7527128381
0,2,"All_STK",8724.71118574244,8780.23687098263,8844.89413693372
0,3,"All_STK",4995.19400977389,5155.33003348669,5394.70159996276
0,4,"All_STK",2741.17991385295,2760.13439612981,2814.22215780823
