"female","pathway","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
0,"direct","dairy_tot",5706.34280337738,422.218268927165,5878.20390809994,5257.9423146977,6008.66135304288,0.00705352600502484,0.000526003917237011,0.00727711112322735,0.00649388784292461,0.00742311681665294,0.727711112322735,0.649388784292461,0.742311681665294,4.84133823770974,0.35821567691427,4.98714751810838,4.46090921224569,5.09782937483496
0,"direct","leg_tot",2796.87105160607,154.993670607224,2712.6228030052,2702.7670101657,2962.58610435717,0.00345695671198369,0.000188602709045012,0.0033508218537193,0.00334560930647882,0.0036585187470133,0.33508218537193,0.334560930647882,0.36585187470133,2.37290314210877,0.131498721680307,2.30142579112136,2.29306400347892,2.51349802907791
0,"medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"medBMI","leg_tot",2907.90656454637,284.951877748773,3013.81670621707,2606.59740596719,3119.19210270545,0.00359449266206747,0.000355029808779034,0.00372173130058825,0.00321979453155214,0.00386103794984014,0.372173130058825,0.321979453155214,0.386103794984014,2.46710716963817,0.241757018319303,2.55696276301895,2.21147241353166,2.64636467137102
0,"medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","dairy_tot",5245.90005605066,235.993854314396,5272.66346867436,5011.4153416968,5457.63586967439,0.00553428510667852,0.000243537681824478,0.00556385761042068,0.00529163882923965,0.00575179475593654,0.556385761042068,0.529163882923965,0.575179475593654,4.13027219276121,0.185805837648973,4.151343920732,3.94565455136976,4.29697886537749
1,"direct","leg_tot",2390.4784815807,100.481515988615,2334.48755161715,2330.66762692134,2497.88162670906,0.00252189712404098,0.00010350737498218,0.00246341463051179,0.00246099593511104,0.00263250843247072,0.246341463051179,0.246099593511104,0.263250843247072,1.88210348927232,0.0791124510455711,1.83801996144976,1.83501240724915,1.96666556994466
1,"medBMI","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medBMI","leg_tot",3203.5457968938,145.30008257748,3169.69044605254,3082.7386884574,3353.12995354527,0.0033798097923948,0.00015520992635315,0.00334031855288739,0.00325276829811667,0.00354041884025424,0.334031855288739,0.325276829811667,0.354041884025424,2.52225852223131,0.114399604312606,2.49560307461284,2.42714305389767,2.64003112104066
1,"medSBP","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"medSBP","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
