"age","disease_type2","X1","X2","X3"
25,"Other_CVD",1632.43421159379,1725.83595551901,1727.68324227473
35,"Other_CVD",2707.73573108323,2718.29705840588,2572.19461795995
45,"Other_CVD",4966.92643012668,5070.37389492264,5160.62737662173
55,"Other_CVD",11128.6869894079,10951.8927795598,11091.7032906005
65,"Other_CVD",17559.0972079517,17701.9392658639,17643.4376004013
75,"Other_CVD",72175.3618745649,72009.9503739197,72092.1207537777
25,"Cancer",15249.8300077948,15780.7282087379,15012.5147915582
35,"Cancer",30028.8993982611,29059.3009490102,29570.5788232106
45,"Cancer",97085.8497540772,97673.8930429333,96041.8829458156
55,"Cancer",298570.976776201,296764.067460863,296979.674355373
65,"Cancer",306174.149280978,306350.513097788,308811.037766106
75,"Cancer",265254.412145387,265733.28906225,264640.280967397
25,"DIAB",860.69229744901,812.668838488899,765.56332596023
35,"DIAB",2049.18908260213,2042.7604011573,2042.35436166641
45,"DIAB",5618.28620763785,5676.49751900923,5673.65529099271
55,"DIAB",13269.1767797648,13118.8820945354,12990.1452306379
65,"DIAB",18561.5841114386,18704.4117897421,18641.1878517332
75,"DIAB",32462.4461411884,32178.2359664372,32124.3183058466
25,"HHD",556.539334933093,611.763946970962,573.226409069157
35,"HHD",1701.20186692998,1729.43249408726,1757.48604411023
45,"HHD",4359.49384500252,4173.31542769124,4364.51097858336
55,"HHD",8120.48003379353,8201.79914405588,8271.99849098988
65,"HHD",8516.8386799551,8457.89483921705,8374.7897118672
75,"HHD",27581.4624780276,28128.8621491848,27596.8195328268
25,"HSTK",281.4269434397,261.206099718226,269.356070004799
35,"HSTK",1067.69239297737,1056.76113873377,1049.03143985372
45,"HSTK",2687.56980204426,2836.10176677669,2770.63748379614
55,"HSTK",4891.42131303073,4957.38410307229,5193.29688600166
65,"HSTK",6743.39684123055,6797.01289283282,6877.44575381487
75,"HSTK",18458.0585821937,18521.4493564012,18478.0844053242
25,"IHD",1041.24950463314,1020.50510849219,956.986791559585
35,"IHD",4377.0468286625,4483.79234862915,4438.48840364682
45,"IHD",18228.9294623619,18215.4403156953,18238.6709502433
55,"IHD",49901.6716846408,49779.8369880004,49552.4716929782
65,"IHD",73735.5907010639,73678.9652019245,73676.1251945444
75,"IHD",216475.210914848,217347.880300713,216551.295420625
25,"ISTK",143.275346537264,144.697991917282,125.63876192431
35,"ISTK",308.103280686717,310.059629493034,343.032140664544
45,"ISTK",951.358083100728,888.441310656778,924.350559748628
55,"ISTK",2842.58546286927,2849.67909042375,2770.09863958405
65,"ISTK",5812.12677498284,5716.70845631656,5678.69434928973
75,"ISTK",32711.0762500696,32645.7729716019,33061.2395851261
25,"OSTK",90.5749109640469,91.5852400712785,95.0186672220098
35,"OSTK",323.151759950626,352.61216146249,340.06840961156
45,"OSTK",1484.06769010242,1471.08002951457,1426.91113752813
55,"OSTK",4921.25151162038,5087.60107969508,4991.16710505058
65,"OSTK",10790.9432608137,10911.0987152864,10900.946968078
75,"OSTK",52225.2149365829,52649.889613706,53320.4421224388
