"age","female","race","outcome","X1","X2","X3"
25,1,1,"AA",16.3998683895705,22.3961275866856,26.9585507607975
25,1,2,"AA",9.10908985482527,14.9840913871463,7.61533287285271
25,1,3,"AA",7.87661898408354,10.0987999186476,6.55011961348182
25,1,4,"AA",4.60410853873904,5.57799311430462,4.03952474824744
25,0,1,"AA",50.9419905640786,49.3127582174774,53.8601962921939
25,0,2,"AA",25.5895650103832,22.3665579713917,31.4167813485838
25,0,3,"AA",28.2212603156022,23.3046512847708,24.8110568342296
25,0,4,"AA",9.98021244619508,9.40461477808531,8.57763050018861
35,1,1,"AA",38.9160132146046,50.2721964988134,55.2231399733645
35,1,2,"AA",15.160550198572,24.432223977299,23.1097521395705
35,1,3,"AA",13.544813036409,10.1335982155724,9.52855075967724
35,1,4,"AA",7.1900653896833,7.61726694435098,7.84049751019877
35,0,1,"AA",136.20456504164,123.980775453018,129.944315763288
35,0,2,"AA",85.5480920461205,93.4741691351817,91.9886055297049
35,0,3,"AA",26.6545198552181,31.0217941934222,31.7175617763067
35,0,4,"AA",14.643648893167,9.04185793668195,13.7254564753405
45,1,1,"AA",80.2114880943564,89.3435877956308,86.9287601047742
45,1,2,"AA",46.5728897216762,43.7333386280964,55.3455337637122
45,1,3,"AA",11.7898772312796,4.03559476569935,6.84680940421425
45,1,4,"AA",8.14581757031898,10.0635218083725,9.629037085425
45,0,1,"AA",273.654037815627,265.873314633751,309.65417747647
45,0,2,"AA",113.365266608495,110.921726531392,96.2164751673603
45,0,3,"AA",52.0734393830932,70.2626275628955,63.9658839906772
45,0,4,"AA",15.0071889989522,25.4119723520363,23.6145390651391
55,1,1,"AA",214.062541170152,252.210958858027,228.996528791644
55,1,2,"AA",99.0422212240844,95.959882842566,93.12110708843
55,1,3,"AA",28.7025293775543,20.6502003111229,15.6229689798952
55,1,4,"AA",12.7530212925237,16.1298119907027,15.8409320718665
55,0,1,"AA",771.853417569085,734.382126614983,786.163776816402
55,0,2,"AA",180.628713658731,168.301061016831,174.090376005542
55,0,3,"AA",81.5409818811025,86.9322246129273,79.0824590445069
55,0,4,"AA",35.2073942541683,28.4096652851511,39.617258698634
65,1,1,"AA",604.033844489946,585.412696149557,599.811865482813
65,1,2,"AA",116.549859681884,106.570350981175,116.663420440923
65,1,3,"AA",24.9219950640849,31.8616604477047,30.1610461573218
65,1,4,"AA",35.0261490390409,19.2988440347354,26.712800885304
65,0,1,"AA",1125.49181964644,1132.29809140901,1138.83272475092
65,0,2,"AA",114.938724764832,145.077232101628,126.214626860714
65,0,3,"AA",58.8080168060755,74.6094606813689,52.6150734581978
65,0,4,"AA",56.9525230202765,59.8044014175753,61.8647085485996
75,1,1,"AA",2369.53589512691,2243.17217079255,2401.91304711388
75,1,2,"AA",197.918536481638,199.778303484349,206.761885455472
75,1,3,"AA",88.1252760746587,103.978984913655,97.0491273455127
75,1,4,"AA",90.801759545715,90.900679139437,91.0358555733877
75,0,1,"AA",2104.67335801977,2148.13266242537,2140.36957620763
75,0,2,"AA",137.144737571913,118.048018379193,101.904261168569
75,0,3,"AA",111.770569378086,144.319011915037,118.918994517794
75,0,4,"AA",104.608656883317,115.021474325557,90.9346318325877
25,1,1,"AFF",0,0,0
25,1,2,"AFF",0,0,0
25,1,3,"AFF",0,0,0
25,1,4,"AFF",0,0,0
25,0,1,"AFF",6.74929143644042,5.45597555018898,5.96806334581001
25,0,2,"AFF",1.55464687736192,1.52632790680573,1.58707463010406
25,0,3,"AFF",3.0276222206892,2.07476087371662,1.78069375616227
25,0,4,"AFF",1.00130728994116,1.9069811760724,1.23281739233841
35,1,1,"AFF",6.16003795541978,18.7474366623585,7.97375600390261
35,1,2,"AFF",4.75896840641391,1.71211626597089,3.09003066261889
35,1,3,"AFF",3.97327355165486,3.2629937778545,4.70024993704716
35,1,4,"AFF",3.23510976919851,0.757588697548017,2.10347449931035
35,0,1,"AFF",26.1807589182452,15.5907688673448,22.5189143299985
35,0,2,"AFF",3.74751340106792,9.85797625051875,3.55966888776349
35,0,3,"AFF",7.92422625093537,4.93418682916676,6.87251866940759
35,0,4,"AFF",3.18318845068394,3.96907563623606,2.43063641456712
45,1,1,"AFF",41.4111740492332,48.9187549260664,36.6431708392713
45,1,2,"AFF",13.2670569060433,8.20593040010126,17.6888974241426
45,1,3,"AFF",7.69871048622942,10.7986370023983,9.38038286357205
45,1,4,"AFF",3.66766336516858,6.02101879660472,5.49883642170896
45,0,1,"AFF",93.7117755816691,100.155812417775,108.469257559731
45,0,2,"AFF",20.2704606775626,23.2199782644375,29.1589097485057
45,0,3,"AFF",8.64164100312283,17.1241987182764,13.9075055552311
45,0,4,"AFF",8.41735108093677,8.7321937301144,8.30536674254985
55,1,1,"AFF",256.447344415595,230.395745566748,262.818457621473
55,1,2,"AFF",47.6572491910216,59.2933029259075,62.5185833061908
55,1,3,"AFF",20.0902583325704,14.7790711671658,30.3113637324013
55,1,4,"AFF",6.19423373318129,8.13083863554151,10.5346265515823
55,0,1,"AFF",528.006933429037,515.999906739737,523.502307280637
55,0,2,"AFF",96.6320761255327,101.666798879311,110.628155866027
55,0,3,"AFF",22.0607008742928,44.5635981934769,29.9954001103683
55,0,4,"AFF",25.0362000224223,24.6887669795576,17.9989020198633
65,1,1,"AFF",1051.01424554805,1081.30524645368,1045.2768346194
65,1,2,"AFF",129.279494702398,107.999211696157,122.612109348536
