"age","race","outcome","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,1,"AA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AA","leg_tot",0.625477395238624,0.12051172354546,0.588453756225543,0.530852805413335,0.751572078225033,0.00848326293631936,0.000819798103875816,0.00820614836817589,0.00785634655949026,0.00934572669607039,0.820614836817589,0.785634655949026,0.934572669607039,0.00166847599106621,0.000321467920197016,0.00156971454378535,0.00141606262250994,0.00200483658981121
25,1,"AFF","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"AFF","leg_tot",0.0595650474166404,0.0258087263015693,0.0633880171606499,0.0336245712281253,0.0822559993227473,0.00961048812706051,0.00334587923049567,0.0106212038123142,0.00611304458367955,0.0122488233379758,1.06212038123142,0.611304458367956,1.22488233379758,0.00015889119619338,6.88453979663631e-05,0.000169089059906775,8.96943522357341e-05,0.000219419855994641
25,1,"APCA","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"APCA","leg_tot",0.00612253841562571,0.00176774475819932,0.00661049241299483,0.00428448989805603,0.00754582603543163,0.00105141707355351,0.000223404752896068,0.00110291426770234,0.000821568165175239,0.00123749336690528,0.110291426770234,0.0821568165175239,0.123749336690528,1.63320184368211e-05,4.71550164696753e-06,1.76336474573943e-05,1.1428979821317e-05,2.01286723848378e-05
25,1,"BC","dairy_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,1,"BC","leg_tot",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
25,1,"CC","dairy_tot",112.065538636892,14.3430422250859,118.871694545708,96.7507853805345,121.595059370755,0.0698379211302148,0.00523684807007918,0.0712594706520251,0.0643981808890934,0.0740693442777975,7.12594706520251,6.43981808890934,7.40693442777975,0.298937518869442,0.0382604100061439,0.317093103406564,0.258085046323114,0.324357744559217
25,1,"CC","leg_tot",1.33927526852848,0.452875132180447,1.33828098337477,0.909467241823397,1.76992843761423,0.000837296135015434,0.000271857857124196,0.00089656547651699,0.000558486815206261,0.00106572651454828,0.089656547651699,0.0558486815206261,0.106572651454828,0.00357254898095242,0.00120805530423004,0.00356989670139783,0.00242602573521403,0.00472132666431221
25,1,"CM","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
