"age","female","disease_type","X1","X2","X3"
25,1,"CMD",1674.22386735881,1719.61483711586,1595.71657326187
25,0,"CMD",2931.96868219123,2948.64834406199,2917.75669475295
35,1,"CMD",4115.37474474901,4116.92078282839,4096.79573507971
35,0,"CMD",8418.74619814354,8576.7944491405,8445.85968243354
45,1,"CMD",12190.558646706,12010.8249384566,12184.989222649
45,0,"CMD",26106.0728736704,26320.4253258098,26374.374554865
55,1,"CMD",30387.5190199339,30242.781310613,30233.007200842
55,0,"CMD",64687.7547551935,64704.2939687296,64627.8741350008
65,1,"CMD",52580.6144469367,52826.5378692672,52735.6073860298
65,0,"CMD",89138.9631304998,89141.4932919163,89057.0200436989
75,1,"CMD",249790.269424473,248417.838777845,249306.157512994
75,0,"CMD",202298.561753002,205064.201954119,203918.162612972
25,1,"Cancer",10724.4550722108,11377.070896263,10761.863064173
25,0,"Cancer",4525.37493558398,4403.65731247494,4250.65172738523
35,1,"Cancer",18772.9362928568,18301.4079488733,18920.0069998805
35,0,"Cancer",11255.9631054044,10757.8930001369,10650.5718233301
45,1,"Cancer",59846.8074532783,60094.5870471146,59098.416899718
45,0,"Cancer",37239.0423007989,37579.3059958186,36943.4660460976
55,1,"Cancer",178306.614860337,177633.766082724,176953.09624931
55,0,"Cancer",120264.361915864,119130.301378139,120026.578106063
65,1,"Cancer",176104.90551796,175748.349609598,176573.263869532
65,0,"Cancer",130069.243763018,130602.16348819,132237.773896574
75,1,"Cancer",154424.333015079,155173.564825251,154550.824046333
75,0,"Cancer",110830.079130307,110559.724236998,110089.456921064
