"age","female","race","outcome","pathway","disease_type","disease_type1","disease_type2","disease_type3","riskfactor","mean (food)","se (food)","sd (food)","mean (food, counterfactual)","se (food, counterfactual)","sd (food, counterfactual)","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,1,"AA","direct","CMD","CMD","Other_CVD","Other_CVD","dairy_tot",1.59,0.06,0.62,3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AA","direct","CMD","CMD","Other_CVD","Other_CVD","leg_tot",0.52,0.05,0.48,0.92,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AA","medBMI","CMD","CMD","Other_CVD","Other_CVD","dairy_tot",1.59,0.06,0.62,3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AA","medBMI","CMD","CMD","Other_CVD","Other_CVD","leg_tot",0.52,0.05,0.48,0.92,0,0.092,0.439021522649022,0.0808393232524237,0.467858912884477,0.353724902481761,0.499806361116146,0.00854142041943895,0.0014884281564203,0.00931091678610537,0.00695001873052497,0.00947875019668648,0.931091678610537,0.695001873052497,0.947875019668648,0.00227527534741866,0.000418958319374454,0.00242472816397016,0.00183321661664465,0.00259029918412391
25,0,1,"AA","medSBP","CMD","CMD","Other_CVD","Other_CVD","dairy_tot",1.59,0.06,0.62,3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AA","medSBP","CMD","CMD","Other_CVD","Other_CVD","leg_tot",0.52,0.05,0.48,0.92,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AFF","direct","CMD","CMD","Other_CVD","Other_CVD","dairy_tot",1.59,0.06,0.62,3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AFF","direct","CMD","CMD","Other_CVD","Other_CVD","leg_tot",0.52,0.05,0.48,0.92,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AFF","medBMI","CMD","CMD","Other_CVD","Other_CVD","dairy_tot",1.59,0.06,0.62,3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AFF","medBMI","CMD","CMD","Other_CVD","Other_CVD","leg_tot",0.52,0.05,0.48,0.92,0,0.092,0.0595650474166404,0.0258087263015693,0.0633880171606499,0.0336245712281253,0.0822559993227473,0.00961048812706051,0.00334587923049567,0.0106212038123142,0.00611304458367955,0.0122488233379758,1.06212038123142,0.611304458367956,1.22488233379758,0.000308702140927276,0.000133756446262389,0.000328515084857649,0.000174262886979322,0.000426300392534412
25,0,1,"AFF","medSBP","CMD","CMD","Other_CVD","Other_CVD","dairy_tot",1.59,0.06,0.62,3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"AFF","medSBP","CMD","CMD","Other_CVD","Other_CVD","leg_tot",0.52,0.05,0.48,0.92,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"APCA","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",1.59,0.06,0.62,3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"APCA","direct","Cancer","Cancer","Cancer","Cancer","leg_tot",0.52,0.05,0.48,0.92,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"APCA","medBMI","Cancer","Cancer","Cancer","Cancer","dairy_tot",1.59,0.06,0.62,3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"APCA","medBMI","Cancer","Cancer","Cancer","Cancer","leg_tot",0.52,0.05,0.48,0.92,0,0.092,0.00612253841562571,0.00176774475819932,0.00661049241299483,0.00428448989805603,0.00754582603543163,0.00105141707355351,0.000223404752896068,0.00110291426770234,0.000821568165175239,0.00123749336690528,0.110291426770234,0.0821568165175239,0.123749336690528,3.17307011206229e-05,9.1615236642395e-06,3.42595741794864e-05,2.22048208080782e-05,3.91070393331336e-05
25,0,1,"APCA","medSBP","Cancer","Cancer","Cancer","Cancer","dairy_tot",1.59,0.06,0.62,3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"APCA","medSBP","Cancer","Cancer","Cancer","Cancer","leg_tot",0.52,0.05,0.48,0.92,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"BC","direct","Cancer","Cancer","Cancer","Cancer","dairy_tot",1.59,0.06,0.62,3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"BC","direct","Cancer","Cancer","Cancer","Cancer","leg_tot",0.52,0.05,0.48,0.92,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"BC","medBMI","Cancer","Cancer","Cancer","Cancer","dairy_tot",1.59,0.06,0.62,3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"BC","medBMI","Cancer","Cancer","Cancer","Cancer","leg_tot",0.52,0.05,0.48,0.92,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"BC","medSBP","Cancer","Cancer","Cancer","Cancer","dairy_tot",1.59,0.06,0.62,3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,1,"BC","medSBP","Cancer","Cancer","Cancer","Cancer","leg_tot",0.52,0.05,0.48,0.92,0,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
