"age","female","race","disease_type","X1","X2","X3"
25,1,1,"CMD",848.165689401167,889.493513582158,841.790327155946
25,1,2,"CMD",508.977558883384,538.035525341677,457.297810608619
25,1,3,"CMD",228.997099251512,203.21410386333,210.139853652673
25,1,4,"CMD",88.0835198227462,88.8716943286943,86.4885818446358
25,0,1,"CMD",1475.63424917729,1474.94734999352,1496.07949320079
25,0,2,"CMD",828.618284318861,824.927740961061,820.862345048422
25,0,3,"CMD",454.526755368982,463.426259981148,435.341045763279
25,0,4,"CMD",173.189393326097,185.346993126259,165.473810740455
35,1,1,"CMD",2228.64241286806,2170.03716432129,2243.60317247163
35,1,2,"CMD",1227.09905635273,1315.52699028863,1215.12802579568
35,1,3,"CMD",450.994299595668,426.573180861144,434.236052749684
35,1,4,"CMD",208.638975932554,204.783447357317,203.828484062722
35,0,1,"CMD",4446.10731988899,4547.90231903758,4425.53365580897
35,0,2,"CMD",2258.09149981007,2323.61252015289,2327.92381434495
35,0,3,"CMD",1168.27615991045,1219.6561931907,1155.89706831624
35,0,4,"CMD",546.271218534029,485.623416759335,536.505143963383
45,1,1,"CMD",7297.27297026441,7089.79199380388,7096.08692674682
45,1,2,"CMD",3272.46933672301,3315.20376716595,3373.55937410563
45,1,3,"CMD",1176.92917177789,1126.34830621702,1207.17671192249
45,1,4,"CMD",443.887167940704,479.480871269778,508.166209874074
45,0,1,"CMD",16265.5054203599,16448.0646938158,16434.0179687242
45,0,2,"CMD",5588.46167076547,5677.04547766437,5558.37075038393
45,0,3,"CMD",3044.38670199377,2974.39674661928,3073.73382445188
45,0,4,"CMD",1207.71908055125,1220.91840771033,1308.25201130494
55,1,1,"CMD",19658.8505850424,19444.1356727964,19578.8368080162
55,1,2,"CMD",7297.31965827058,7289.09437416088,7207.63597954754
55,1,3,"CMD",2407.75070869337,2457.5329811464,2390.68664806862
55,1,4,"CMD",1023.59806792754,1052.01828250941,1055.84776520967
55,0,1,"CMD",44615.5940377258,44493.3975102767,44693.9199375536
55,0,2,"CMD",12149.4531685128,12269.735234391,12100.7230633878
55,0,3,"CMD",5525.78651416625,5573.89285601382,5537.08484008271
55,0,4,"CMD",2396.92103478867,2367.26836804806,2296.14629397663
65,1,1,"CMD",37133.9533959106,37396.4156992777,37226.089211942
65,1,2,"CMD",9569.13669370075,9570.27294437467,9614.17854119049
65,1,3,"CMD",3914.3790281926,3925.27872458502,3937.4967154277
65,1,4,"CMD",1963.1453291327,1934.57050102974,1957.84291746965
65,0,1,"CMD",66701.2514403367,66741.4399341027,66633.553300197
65,0,2,"CMD",13125.6519207173,13142.7700064869,13107.7102951444
65,0,3,"CMD",6223.07216616794,6159.22448181587,6217.22484295157
65,0,4,"CMD",3088.98760327792,3098.05886951077,3098.53160540592
75,1,1,"CMD",201759.060351885,200559.65329805,201490.093527375
75,1,2,"CMD",23703.1374274087,23888.4075424177,24219.0143340838
75,1,3,"CMD",15983.2178723781,15683.4324473425,15277.7954862102
75,1,4,"CMD",8344.85377280186,8286.34549003409,8319.25416532454
75,0,1,"CMD",167460.169146266,169599.107262771,168010.929545209
