"age","female","race","disease_type3","riskfactor","V1","V2","V3"
55,1,3,"All_HD","dairy_tot",0,0,0
55,1,4,"All_HD","dairy_tot",0,0,0
65,1,1,"All_HD","dairy_tot",0,0,0
65,1,2,"All_HD","dairy_tot",0,0,0
65,1,3,"All_HD","dairy_tot",0,0,0
65,1,4,"All_HD","dairy_tot",0,0,0
75,1,1,"All_HD","dairy_tot",0,0,0
75,1,2,"All_HD","dairy_tot",0,0,0
75,1,3,"All_HD","dairy_tot",0,0,0
75,1,4,"All_HD","dairy_tot",0,0,0
25,0,1,"All_STK","dairy_tot",0,0,0
25,0,2,"All_STK","dairy_tot",0,0,0
25,0,3,"All_STK","dairy_tot",0,0,0
25,0,4,"All_STK","dairy_tot",0,0,0
35,0,1,"All_STK","dairy_tot",0,0,0
35,0,2,"All_STK","dairy_tot",0,0,0
35,0,3,"All_STK","dairy_tot",0,0,0
35,0,4,"All_STK","dairy_tot",0,0,0
45,0,1,"All_STK","dairy_tot",0,0,0
45,0,2,"All_STK","dairy_tot",0,0,0
45,0,3,"All_STK","dairy_tot",0,0,0
45,0,4,"All_STK","dairy_tot",0,0,0
55,0,1,"All_STK","dairy_tot",0,0,0
55,0,2,"All_STK","dairy_tot",0,0,0
55,0,3,"All_STK","dairy_tot",0,0,0
55,0,4,"All_STK","dairy_tot",0,0,0
65,0,1,"All_STK","dairy_tot",0,0,0
65,0,2,"All_STK","dairy_tot",0,0,0
65,0,3,"All_STK","dairy_tot",0,0,0
65,0,4,"All_STK","dairy_tot",0,0,0
75,0,1,"All_STK","dairy_tot",0,0,0
75,0,2,"All_STK","dairy_tot",0,0,0
75,0,3,"All_STK","dairy_tot",0,0,0
75,0,4,"All_STK","dairy_tot",0,0,0
25,1,1,"All_STK","dairy_tot",0,0,0
25,1,2,"All_STK","dairy_tot",0,0,0
25,1,3,"All_STK","dairy_tot",0,0,0
25,1,4,"All_STK","dairy_tot",0,0,0
35,1,1,"All_STK","dairy_tot",0,0,0
35,1,2,"All_STK","dairy_tot",0,0,0
35,1,3,"All_STK","dairy_tot",0,0,0
35,1,4,"All_STK","dairy_tot",0,0,0
45,1,1,"All_STK","dairy_tot",0,0,0
45,1,2,"All_STK","dairy_tot",0,0,0
45,1,3,"All_STK","dairy_tot",0,0,0
45,1,4,"All_STK","dairy_tot",0,0,0
55,1,1,"All_STK","dairy_tot",0,0,0
55,1,2,"All_STK","dairy_tot",0,0,0
55,1,3,"All_STK","dairy_tot",0,0,0
55,1,4,"All_STK","dairy_tot",0,0,0
65,1,1,"All_STK","dairy_tot",0,0,0
65,1,2,"All_STK","dairy_tot",0,0,0
65,1,3,"All_STK","dairy_tot",0,0,0
65,1,4,"All_STK","dairy_tot",0,0,0
75,1,1,"All_STK","dairy_tot",0,0,0
75,1,2,"All_STK","dairy_tot",0,0,0
75,1,3,"All_STK","dairy_tot",0,0,0
75,1,4,"All_STK","dairy_tot",0,0,0
25,0,1,"Other_CVD","leg_tot",5.26641593521943,4.65172216843017,6.01589039876411
25,0,2,"Other_CVD","leg_tot",5.31856928208721,2.91182568133701,1.92867368618001
25,0,3,"Other_CVD","leg_tot",0.348967848209497,0.961885940601014,0.537033632403933
25,0,4,"Other_CVD","leg_tot",0.401009520834615,0.470737785755849,0.807238552878495
35,0,1,"Other_CVD","leg_tot",7.13019570952341,8.54580955392343,7.1151622797163
35,0,2,"Other_CVD","leg_tot",5.59486145508769,5.81633674285159,4.2353856640388
35,0,3,"Other_CVD","leg_tot",0.909771868817619,0.0262980435193724,0.143603380925233
35,0,4,"Other_CVD","leg_tot",0.0323427622121624,0.690907337517696,0
45,0,1,"Other_CVD","leg_tot",15.0520327008548,17.2447323670041,9.04078821384519
45,0,2,"Other_CVD","leg_tot",7.03019035713414,9.32859520848684,3.85686782662042
45,0,3,"Other_CVD","leg_tot",0.918010714836618,0,0.102270581488598
45,0,4,"Other_CVD","leg_tot",1.13605965516648,1.32532867526574,1.00230273526438
55,0,1,"Other_CVD","leg_tot",31.6475195012404,29.1148866168818,20.6106966420114
55,0,2,"Other_CVD","leg_tot",9.95586949723742,6.04438139635587,8.45901554321702
55,0,3,"Other_CVD","leg_tot",1.27475390651543,0.776937420559493,1.56886783516528
