"race","X1","X2","X3"
1,1311777.45120357,1309762.34764141,1309031.10747956
2,205028.643636553,206095.873332285,207326.658182709
3,141077.332888452,140645.399370062,140122.245461523
4,98801.3171769811,100948.54732773,100069.279880244
