"age","female","disease_type3","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
25,0,"All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"All_HD","leg_tot",20.9439992478293,4.5797550602433,19.8666650342663,17.1423402745194,25.6613923026679,0.01762400320512,0.00353798357133184,0.0166766561748651,0.0147571584995845,0.0212960928863721,1.66766561748651,1.47571584995845,2.12960928863721,0.0613232136592583,0.0134093443541103,0.0581688210631259,0.0501921043271146,0.0751355566981145
25,0,"All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"All_STK","leg_tot",12.3037213231573,1.28190711242161,12.1127711908949,11.1772388883768,13.5925113703608,0.0457829724764725,0.00526781087238451,0.0433490634664591,0.0422310482130832,0.0514037193983734,4.33490634664591,4.22310482130832,5.14037193983734,0.0360248165871256,0.00375337407226561,0.0354657220407388,0.0327265199144591,0.0397983436242208
25,0,"Cancer","dairy_tot",89.555149159251,15.9552167248742,95.35294814901,72.7037404098171,101.47842876739,0.0203241262509357,0.00306058412992428,0.0216531263408914,0.0170651684962198,0.0224534339291893,2.16531263408914,1.70651684962198,2.24534339291893,0.262213986984777,0.0467162528331661,0.279189716500202,0.212873718826195,0.297124885055247
25,0,"Cancer","leg_tot",11.2467649177373,2.08394649066482,12.3508679600217,9.01846834761728,12.5365739019155,0.00256206878194286,0.000484333119266506,0.00277244384773574,0.00204633761016409,0.00289898114779769,0.277244384773574,0.204633761016409,0.289898114779769,0.0329300894191607,0.00610171411817373,0.036162860102671,0.0264057238933252,0.0367065998640124
25,0,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"DIAB","leg_tot",9.70695950598685,1.07943202148834,9.13260598205648,9.04096073976574,10.8611587675488,0.020908968418177,0.00240378063244809,0.0210987587471686,0.0185500605461104,0.0231065545106007,2.10987587471686,1.85500605461104,2.31065545106007,0.0284215991761504,0.00316053489599103,0.0267399144392881,0.0264715807410603,0.0318010496375734
25,0,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,"Other_CVD","leg_tot",9.87332347756711,1.27424676536293,9.28883627022654,9.01080481082918,11.2326562705445,0.00981268376085715,0.00182362588874218,0.00880539506071961,0.00871940503049253,0.0117621578863387,0.880539506071961,0.871940503049253,1.17621578863387,0.0289087064021247,0.00373094487458352,0.0271973506351232,0.0263832853562397,0.0328887798499612
25,1,"All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"All_HD","leg_tot",7.58525650852131,0.0415600322345321,7.58153629311377,7.54747438386089,7.62620081627814,0.0190089765841601,0.00171405288083426,0.0192369428887048,0.0172945779300775,0.0205296038793796,1.92369428887048,1.72945779300775,2.05296038793796,0.0228350940753629,0.000125114720218691,0.0228238945241393,0.0227213525861966,0.0229583551830694
25,1,"All_STK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"All_STK","leg_tot",10.9936352301703,1.12584751377918,11.6369632427721,9.79080740418071,11.6496342454484,0.0474423261504755,0.00526326897034766,0.0493398691221334,0.0418857280552139,0.051386012719828,4.93398691221334,4.18857280552139,5.1386012719828,0.0330958741380918,0.00338931634846884,0.0350325859253037,0.029474811813821,0.0350707314432326
25,1,"Cancer","dairy_tot",103.517645722739,4.81829323463239,103.509512250485,98.9437287667286,108.098476130165,0.0094481412965192,0.000217110518498162,0.00952266198679237,0.00921953801108906,0.00961340199521714,0.952266198679237,0.921953801108906,0.961340199521714,0.311635496556154,0.0145052681042377,0.311611011081751,0.297865912908447,0.325425892857103
25,1,"Cancer","leg_tot",21.745974598524,2.57926419211394,22.2143841781377,19.127094041099,23.9667070132774,0.00198275577231125,0.000192226511386741,0.00207137649685339,0.00177766323812042,0.00211252069064127,0.207137649685339,0.177766323812042,0.211252069064127,0.06546533728423,0.0077647658198468,0.0668754645230732,0.0575813080712751,0.0721507583441681
25,1,"DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"DIAB","leg_tot",6.88707563159779,1.92523270806576,7.13082721868349,4.96553765257797,8.60142476159477,0.0199681771798352,0.00616584665735077,0.0211418338819434,0.0136919543134082,0.0252467918494703,2.11418338819434,1.36919543134082,2.52467918494703,0.0207332500588478,0.00579583168430222,0.0214670539079158,0.014948541200155,0.0258942256458328
25,1,"Other_CVD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"Other_CVD","leg_tot",6.59137350357554,1.53957825996452,7.26762685218746,4.9513205228353,7.65661113799566,0.00962854517782583,0.00207382985848091,0.0103208400460692,0.00744830877203352,0.0112203309456113,1.03208400460692,0.744830877203352,1.12203309456113,0.0198430513023407,0.00463483527065676,0.021878883421793,0.0149057411320504,0.0230499041710965
35,0,"All_HD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
