"race","pathway","disease_type2","riskfactor","means","sd.devs","medians","LB","UB","RE.PAF.means","RE.PAF.sd.devs","RE.PAF.medians","RE.PAF.LB","RE.PAF.UB","RE.PAF.medians.as.percent","RE.PAF.LB.as.percent","RE.PAF.UB.as.percent","mort.per.100k.means","mort.per.100k.sd.devs","mort.per.100k.medians","mort.per.100k.LB","mort.per.100k.UB"
1,"direct","Cancer","dairy_tot",7131.55121937514,419.38516758054,7036.7303640346,6781.14628558813,7562.55388020162,0.00963792746513848,0.000545005633067868,0.00952375944178466,0.00917728486741527,0.0101956128827124,0.952375944178466,0.917728486741527,1.01956128827124,4.67373348753287,0.274848268153852,4.61159169070785,4.44409210617564,4.95619539619135
1,"direct","Cancer","leg_tot",695.540133725032,28.6174409484543,696.621264975958,667.908638538878,722.252667347898,0.000940065496446505,3.8691025716557e-05,0.000938985365278456,0.000903778821641051,0.000977270282744799,0.0938985365278456,0.0903778821641051,0.0977270282744799,0.455829189879757,0.0187547264226204,0.456537720068554,0.437720612883034,0.473335516216004
1,"direct","DIAB","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","DIAB","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","HHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","HHD","leg_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","HSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","HSTK","leg_tot",493.651238960174,26.7768942209618,487.310794158992,471.448475352737,521.243380648617,0.020173153388516,0.00116593480166444,0.0198931153833178,0.0192087579529086,0.0213755811285419,1.98931153833178,1.92087579529086,2.13755811285419,0.323519281530507,0.01754850569854,0.31936400755412,0.308968478122416,0.341602067818526
1,"direct","IHD","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","IHD","leg_tot",1573.80588230872,140.519433985734,1509.06090270867,1478.91700946974,1723.72798780774,0.0054991008557275,0.000488890238779697,0.00526370778129655,0.00517700045126102,0.0060212853734603,0.526370778129655,0.517700045126102,0.60212853734603,1.03140944077339,0.0920908178411471,0.988978170212746,0.96922306799983,1.12966239352349
1,"direct","ISTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"direct","ISTK","leg_tot",523.792182107437,69.7862606978951,496.878680120567,472.74042172712,597.720419176595,0.0163199910327438,0.0023088470565889,0.0154022650708739,0.0146506688675458,0.0187693802655312,1.54022650708739,1.46506688675458,1.87693802655312,0.343272450371315,0.045735124597763,0.325634417405769,0.309815168112897,0.391722060650446
1,"direct","OSTK","dairy_tot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
