"age","female","disease_type3","riskfactor","V1","V2","V3"
75,0,"DIAB","leg_tot",107.839587740662,134.37897567689,122.424834340729
25,1,"DIAB","leg_tot",4.85157504383557,8.67882463227432,7.13082721868349
35,1,"DIAB","leg_tot",14.9971466973301,20.1582953180996,9.97419368430566
45,1,"DIAB","leg_tot",38.0056689079788,44.9127137338658,63.5558017896766
55,1,"DIAB","leg_tot",64.3742059483194,71.4059907726338,72.3894646637217
65,1,"DIAB","leg_tot",69.8194426038095,78.1570426101894,91.3092854580875
75,1,"DIAB","leg_tot",161.137019732922,125.792251384131,187.083296292952
25,0,"All_HD","leg_tot",25.9663779483732,19.8666650342663,16.9989547608485
35,0,"All_HD","leg_tot",77.2167570123757,94.4059588574229,59.9393636296357
45,0,"All_HD","leg_tot",294.657754650744,262.968017925376,203.602345469008
55,0,"All_HD","leg_tot",519.313041854721,432.21992862463,553.823101652458
65,0,"All_HD","leg_tot",726.168710704988,1022.91146662606,805.23718934644
75,0,"All_HD","leg_tot",1029.63722736444,753.046002979738,708.592626936455
25,1,"All_HD","leg_tot",7.54568165179495,7.58153629311377,7.62855158065521
35,1,"All_HD","leg_tot",30.1006500284836,30.5668432772752,25.1130037155061
45,1,"All_HD","leg_tot",76.2081506783059,93.3104335521655,107.183546812354
55,1,"All_HD","leg_tot",212.113087257183,144.665241161617,211.439147498361
65,1,"All_HD","leg_tot",421.695690009555,257.441618333665,318.20391432333
75,1,"All_HD","leg_tot",944.345881461474,900.707898940644,1044.64795151664
25,0,"All_STK","leg_tot",12.1127711908949,11.128000346139,13.6703924324379
35,0,"All_STK","leg_tot",34.2784530753566,34.3741857915144,26.3373835030946
45,0,"All_STK","leg_tot",107.40315284155,131.312424176403,74.6277346268556
55,0,"All_STK","leg_tot",202.220332618395,171.011218136683,191.34483084331
65,0,"All_STK","leg_tot",410.976122118049,382.749395791187,379.581723931034
75,0,"All_STK","leg_tot",552.036298250531,630.579502446275,595.017788046895
25,1,"All_STK","leg_tot",11.6369632427721,9.69364130741273,11.650301140326
35,1,"All_STK","leg_tot",37.5164598550404,41.4513237765944,40.6315417740431
45,1,"All_STK","leg_tot",91.1757326596311,84.6477058577869,117.25177835497
55,1,"All_STK","leg_tot",168.325788214696,154.010573224647,182.052679204981
65,1,"All_STK","leg_tot",301.886070416068,303.349367344313,231.182728292052
75,1,"All_STK","leg_tot",1151.34541249983,1372.01755147259,1161.69996558859
