"disease_type1","riskfactor","V1","V2","V3"
"CMD","dairy_tot",0,0,0
"Cancer","dairy_tot",11345.5751673006,10497.9604363509,11013.1929746326
"CMD","leg_tot",8804.89511432213,8835.01929642519,8413.40858035376
"Cancer","leg_tot",2698.26310703383,2567.18930915817,2577.63027658772
